source,target,famrel
1,318,broer_van
1,982,broer_van
6,951,oom_van
7,145,vader_van
7,536,vader_van
10,126,zwager_van
11,1047,vader_van
14,3064,zwager_van
15,817,broer_van
17,46,broer_van
17,247,zwager_van
17,159,oomzegger_van
17,274,neef_van
25,310,broer_van
25,770,oomzegger_van
26,113,zwager_van
29,768,oomzegger_van
33,122,broer_van
35,38,zwager_van
35,880,oom_van
35,2027,zwager_van
36,1016,broer_van
38,35,zwager_van
38,880,oom_van
38,2027,zwager_van
40,484,zwager_van
41,202,zwager_van
42,632,oom_van
44,1123,zwager_van
45,57,broer_van
46,17,broer_van
46,247,zwager_van
46,159,oomzegger_van
46,274,neef_van
48,368,oom_van
50,325,broer_van
51,1015,zwager_van
52,1019,zwager_van
52,1036,broer_van
52,1055,zwager_van
52,492,zwager_van
52,552,zwager_van
52,842,zwager_van
52,1015,zwager_van
52,1064,zwager_van
52,573,neef_van
53,925,zwager_van
53,224,neef_van
53,979,oomzegger_van
57,45,broer_van
57,445,zwager_van
57,1156,zwager_van
59,494,oomzegger_van
59,631,neef_van
59,912,oomzegger_van
60,115,zwager_van
64,503,zwager_van
67,68,broer_van
68,67,broer_van
70,162,zoon_van
70,436,neef_van
70,442,neef_van
70,458,neef_van
71,361,zwager_van
78,872,neef_van
79,828,neef_van
80,679,zwager_van
80,1117,zwager_van
85,369,vader_van
85,398,oom_van
96,528,zwager_van
101,878,vader_van
102,603,oom_van
102,677,neef_van
102,694,neef_van
104,133,broer_van
108,664,vader_van
110,846,broer_van
110,644,oom_van
113,26,zwager_van
115,146,broer_van
115,654,broer_van
115,60,zwager_van
116,307,neef_van
117,932,neef_van
122,33,broer_van
124,1109,oomzegger_van
125,1161,broer_van
126,10,zwager_van
126,1022,zwager_van
130,381,oom_van
131,930,broer_van
133,104,broer_van
135,163,broer_van
135,521,neef_van
135,1027,neef_van
138,487,zoon_van
138,566,broer_van
141,151,broer_van
142,980,zoon_van
142,1142,neef_van
144,481,broer_van
144,383,neef_van
144,2057,oomzegger_van
144,3008,oomzegger_van
145,7,zoon_van
145,536,broer_van
146,115,broer_van
146,654,broer_van
149,1081,broer_van
150,510,zoon_van
151,141,broer_van
152,1121,zoon_van
153,551,zoon_van
153,1094,broer_van
153,512,oomzegger_van
159,274,vader_van
159,17,oom_van
159,46,oom_van
159,247,oom_van
162,70,vader_van
162,436,oom_van
162,442,oom_van
162,458,oom_van
163,135,broer_van
163,521,neef_van
163,1027,neef_van
166,838,oomzegger_van
167,682,zwager_van
173,352,vader_van
174,627,zwager_van
176,190,broer_van
180,429,zwager_van
180,2012,broer_van
190,176,broer_van
193,378,vader_van
194,205,zwager_van
195,788,vader_van
196,354,vader_van
196,403,vader_van
196,371,oom_van
196,396,oom_van
196,460,zwager_van
199,482,neef_van
199,1034,neef_van
200,844,broer_van
201,294,broer_van
201,845,broer_van
201,659,neef_van
202,315,oom_van
202,41,zwager_van
204,313,broer_van
205,194,zwager_van
206,1017,broer_van
206,690,zwager_van
207,786,broer_van
207,899,zwager_van
212,292,zwager_van
213,215,broer_van
214,284,broer_van
214,1055,zwager_van
215,213,broer_van
216,1001,vader_van
216,1002,oom_van
217,533,vader_van
217,658,vader_van
217,343,oom_van
217,524,oom_van
217,568,oom_van
217,646,oom_van
217,659,oom_van
217,3059,zwager_van
218,625,broer_van
218,3070,zwager_van
220,571,zwager_van
222,309,zwager_van
222,923,zwager_van
224,53,neef_van
224,837,oomzegger_van
229,867,broer_van
229,309,zwager_van
229,820,zwager_van
229,1157,zwager_van
229,860,neef_van
230,1043,neef_van
234,519,neef_van
235,375,vader_van
235,1078,vader_van
237,347,oom_van
237,819,neef_van
239,370,oom_van
239,3053,broer_van
245,1011,broer_van
247,17,zwager_van
247,46,zwager_van
247,159,oomzegger_van
249,266,broer_van
249,895,zwager_van
249,924,oom_van
249,277,neef_van
255,498,neef_van
258,329,zwager_van
261,1152,broer_van
261,542,neef_van
261,729,neef_van
266,249,broer_van
266,277,neef_van
269,869,vader_van
269,934,vader_van
269,301,neef_van
269,552,neef_van
270,1122,zwager_van
272,815,vader_van
272,2039,vader_van
272,863,oom_van
273,1058,zwager_van
273,1127,neef_van
274,159,zoon_van
274,17,neef_van
274,46,neef_van
277,857,zwager_van
277,925,zwager_van
277,249,neef_van
277,266,neef_van
278,1006,neef_van
280,776,oomzegger_van
284,214,broer_van
286,394,vader_van
287,603,oom_van
288,465,broer_van
292,212,zwager_van
294,201,broer_van
294,845,broer_van
294,659,neef_van
299,330,zwager_van
301,552,broer_van
301,269,neef_van
307,116,neef_van
308,873,oomzegger_van
308,955,neef_van
308,1052,neef_van
309,222,zwager_van
309,923,broer_van
309,229,zwager_van
309,820,zwager_van
309,1157,zwager_van
310,25,broer_van
310,770,oomzegger_van
311,733,zwager_van
313,204,broer_van
315,202,oomzegger_van
318,1,broer_van
318,982,broer_van
322,483,neef_van
324,455,zwager_van
325,50,broer_van
325,548,zwager_van
326,607,broer_van
329,258,zwager_van
330,299,zwager_van
335,674,broer_van
335,792,broer_van
337,466,zoon_van
337,1147,zwager_van
339,704,broer_van
339,507,neef_van
339,1051,oomzegger_van
343,524,broer_van
343,646,zwager_van
343,3059,zoon_van
343,217,oomzegger_van
343,533,neef_van
343,658,neef_van
343,659,neef_van
346,921,zoon_van
347,237,oomzegger_van
352,173,zoon_van
354,196,zoon_van
354,403,broer_van
354,371,neef_van
354,396,neef_van
354,460,oomzegger_van
356,858,neef_van
360,755,broer_van
360,967,broer_van
361,1133,broer_van
361,71,zwager_van
364,380,neef_van
365,534,broer_van
365,1122,zoon_van
368,48,oomzegger_van
369,85,zoon_van
369,398,neef_van
370,3053,zoon_van
370,239,oomzegger_van
371,396,broer_van
371,460,zoon_van
371,196,oomzegger_van
371,354,neef_van
371,403,neef_van
373,833,oomzegger_van
373,2044,neef_van
375,235,zoon_van
375,1078,broer_van
376,703,broer_van
376,707,zwager_van
376,3023,broer_van
376,3054,zoon_van
378,193,zoon_van
379,783,zoon_van
380,364,neef_van
381,130,oomzegger_van
381,707,neef_van
383,2057,zoon_van
383,144,neef_van
383,481,neef_van
383,3008,oomzegger_van
390,397,vader_van
391,760,zwager_van
392,618,broer_van
392,688,zoon_van
392,1096,neef_van
393,419,zoon_van
394,286,zoon_van
395,485,zoon_van
396,371,broer_van
396,460,zoon_van
396,196,oomzegger_van
396,354,neef_van
396,403,neef_van
397,390,zoon_van
398,85,oomzegger_van
398,369,neef_van
398,668,oomzegger_van
401,472,zoon_van
403,196,zoon_van
403,354,broer_van
403,371,neef_van
403,396,neef_van
403,460,oomzegger_van
407,705,oomzegger_van
412,546,zoon_van
412,949,broer_van
412,2021,zoon_van
413,655,broer_van
413,503,neef_van
417,902,schoonzoon_van
418,709,zwager_van
419,393,vader_van
419,974,neef_van
420,531,vader_van
424,651,neef_van
426,2057,zwager_van
427,838,zwager_van
429,441,oom_van
429,180,zwager_van
429,2012,zwager_van
429,455,neef_van
431,1136,zwager_van
436,442,broer_van
436,458,broer_van
436,70,neef_van
436,162,oomzegger_van
439,839,zwager_van
441,3032,neef_van
441,429,oomzegger_van
442,436,broer_van
442,458,broer_van
442,70,neef_van
442,162,oomzegger_van
444,449,broer_van
445,57,zwager_van
445,1156,zwager_van
445,1092,neef_van
447,1103,oomzegger_van
447,1106,oomzegger_van
