"naam","uri_naam","uri_amco","amco","cbs_code","geonames","startjaar","eindjaar","provincie","regio"
"Adorp","http://www.gemeentegeschiedenis.nl/gemeentenaam/Adorp","http://www.gemeentegeschiedenis.nl/amco/10996",10996,"1",0,"oudsher","1990","Groningen","noord"
"Aduard","http://www.gemeentegeschiedenis.nl/gemeentenaam/Aduard","http://www.gemeentegeschiedenis.nl/amco/10999",10999,"2",0,"oudsher","1990","Groningen","noord"
"Appingedam","http://www.gemeentegeschiedenis.nl/gemeentenaam/Appingedam","http://www.gemeentegeschiedenis.nl/amco/10886",10886,"3",2759686,"oudsher","heden","Groningen","noord"
"Baflo","http://www.gemeentegeschiedenis.nl/gemeentenaam/Baflo","http://www.gemeentegeschiedenis.nl/amco/10539",10539,"4",0,"oudsher","1990","Groningen","noord"
"Bedum","http://www.gemeentegeschiedenis.nl/gemeentenaam/Bedum","http://www.gemeentegeschiedenis.nl/amco/10425",10425,"5",2759355,"oudsher","heden","Groningen","noord"
"Beerta","http://www.gemeentegeschiedenis.nl/gemeentenaam/Beerta","http://www.gemeentegeschiedenis.nl/amco/11043",11043,"6",0,"oudsher","1991","Groningen","noord"
"Bellingwedde","http://www.gemeentegeschiedenis.nl/gemeentenaam/Bellingwedde","http://www.gemeentegeschiedenis.nl/amco/10340",10340,"7",2759248,"1968","heden","Groningen","noord"
"Bellingwolde","http://www.gemeentegeschiedenis.nl/gemeentenaam/Bellingwolde","http://www.gemeentegeschiedenis.nl/amco/10340",10340,"1019",0,"oudsher","1968","Groningen","noord"
"Bierum","http://www.gemeentegeschiedenis.nl/gemeentenaam/Bierum","http://www.gemeentegeschiedenis.nl/amco/11294",11294,"8",0,"oudsher","1990","Groningen","noord"
"Ten Boer","http://www.gemeentegeschiedenis.nl/gemeentenaam/Ten_Boer","http://www.gemeentegeschiedenis.nl/amco/10891",10891,"9",2746490,"oudsher","heden","Groningen","noord"
"Bourtange","http://www.gemeentegeschiedenis.nl/gemeentenaam/Bourtange","http://www.gemeentegeschiedenis.nl/amco/10332",10332,NA,0,"oudsher","1822","Groningen","noord"
"Delfzijl","http://www.gemeentegeschiedenis.nl/gemeentenaam/Delfzijl","http://www.gemeentegeschiedenis.nl/amco/10976",10976,"10",2757339,"oudsher","heden","Groningen","noord"
"Eemsmond","http://www.gemeentegeschiedenis.nl/gemeentenaam/Eemsmond","http://www.gemeentegeschiedenis.nl/amco/10246",10246,"1651",6544278,"1992","heden","Groningen","noord"
"Eenrum","http://www.gemeentegeschiedenis.nl/gemeentenaam/Eenrum","http://www.gemeentegeschiedenis.nl/amco/10904",10904,"11",0,"oudsher","1990","Groningen","noord"
"Ezinge","http://www.gemeentegeschiedenis.nl/gemeentenaam/Ezinge","http://www.gemeentegeschiedenis.nl/amco/10136",10136,"12",0,"oudsher","1990","Groningen","noord"
"Finsterwolde","http://www.gemeentegeschiedenis.nl/gemeentenaam/Finsterwolde","http://www.gemeentegeschiedenis.nl/amco/10212",10212,"13",0,"oudsher","1990","Groningen","noord"
"Grijpskerk","http://www.gemeentegeschiedenis.nl/gemeentenaam/Grijpskerk","http://www.gemeentegeschiedenis.nl/amco/10244",10244,"16",0,"oudsher","1990","Groningen","noord"
"Groningen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Groningen","http://www.gemeentegeschiedenis.nl/amco/10426",10426,"14",2755250,"oudsher","heden","Groningen","noord"
"Grootegast","http://www.gemeentegeschiedenis.nl/gemeentenaam/Grootegast","http://www.gemeentegeschiedenis.nl/amco/11080",11080,"15",2755203,"oudsher","heden","Groningen","noord"
"Haren","http://www.gemeentegeschiedenis.nl/gemeentenaam/Haren","http://www.gemeentegeschiedenis.nl/amco/11058",11058,"17",2754840,"oudsher","heden","Groningen","noord"
"Harkstede","http://www.gemeentegeschiedenis.nl/gemeentenaam/Harkstede","http://www.gemeentegeschiedenis.nl/amco/10249",10249,NA,0,"oudsher","1821","Groningen","noord"
"Hefshuizen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Hefshuizen","http://www.gemeentegeschiedenis.nl/amco/10246",10246,"19",0,"1979","1992","Groningen","noord"
"Hoogezand","http://www.gemeentegeschiedenis.nl/gemeentenaam/Hoogezand","http://www.gemeentegeschiedenis.nl/amco/10410",10410,"1083",0,"oudsher","1949","Groningen","noord"
"Hoogezand-Sappemeer","http://www.gemeentegeschiedenis.nl/gemeentenaam/Hoogezand-Sappemeer","http://www.gemeentegeschiedenis.nl/amco/10410",10410,"18",2753705,"1949","heden","Groningen","noord"
