"amco","naam","uri_naam","uri_amco","cbs_code","geonames","startjaar","eindjaar","provincie","regio","gm_naam","cbscode","regio2"
10001,"Almenum","http://www.gemeentegeschiedenis.nl/gemeentenaam/Almenum","http://www.gemeentegeschiedenis.nl/amco/10001",NA,0,"oudsher","1816","Friesland","noord",NA,NA,NA
10002,"Zuidlaren","http://www.gemeentegeschiedenis.nl/gemeentenaam/Zuidlaren","http://www.gemeentegeschiedenis.nl/amco/10002","136",0,"oudsher","1999","Drenthe","noord","Zuidlaren",136,"noordoost"
10002,"Tynaarlo","http://www.gemeentegeschiedenis.nl/gemeentenaam/Tynaarlo","http://www.gemeentegeschiedenis.nl/amco/10002","1730",6544282,"1999","heden","Drenthe","noord","Zuidlaren",136,"noordoost"
10003,"Zeddam","http://www.gemeentegeschiedenis.nl/gemeentenaam/Zeddam","http://www.gemeentegeschiedenis.nl/amco/10003",NA,0,"oudsher","1821","Gelderland","oost",NA,NA,NA
10004,"Zijpe","http://www.gemeentegeschiedenis.nl/gemeentenaam/Zijpe","http://www.gemeentegeschiedenis.nl/amco/10004","476",2743882,"oudsher","heden","Noord-Holland","west","Zijpe",476,"noordwest"
10005,"Opsterland","http://www.gemeentegeschiedenis.nl/gemeentenaam/Opsterland","http://www.gemeentegeschiedenis.nl/amco/10005","86",2749277,"1816","heden","Friesland","noord","Opsterland",86,"noordoost"
10005,"Ureterp","http://www.gemeentegeschiedenis.nl/gemeentenaam/Ureterp","http://www.gemeentegeschiedenis.nl/amco/10005",NA,0,"oudsher","1816","Friesland","noord","Opsterland",86,"noordoost"
10006,"Baardwijk","http://www.gemeentegeschiedenis.nl/gemeentenaam/Baardwijk","http://www.gemeentegeschiedenis.nl/amco/10006","1015",0,"oudsher","1922","Noord-Brabant","zuid","Baardwijk",1015,"zuidwest"
10007,"Vaals","http://www.gemeentegeschiedenis.nl/gemeentenaam/Vaals","http://www.gemeentegeschiedenis.nl/amco/10007","981",2745904,"oudsher","heden","Limburg","zuid","Vaals",981,"zuidoost"
10008,"Nieuweschans","http://www.gemeentegeschiedenis.nl/gemeentenaam/Nieuweschans","http://www.gemeentegeschiedenis.nl/amco/10008","31",0,"oudsher","1990","Groningen","noord","Nieuweschans",31,"noordoost"
10009,"Oostvoorne","http://www.gemeentegeschiedenis.nl/gemeentenaam/Oostvoorne","http://www.gemeentegeschiedenis.nl/amco/10009","581",0,"oudsher","1980","Zuid-Holland","west","Oostvoorne",581,"zuidwest"
10009,"Westvoorne","http://www.gemeentegeschiedenis.nl/gemeentenaam/Westvoorne","http://www.gemeentegeschiedenis.nl/amco/10009","614",2744605,"1980","heden","Zuid-Holland","west","Oostvoorne",581,"zuidwest"
10010,"Eethen","http://www.gemeentegeschiedenis.nl/gemeentenaam/Eethen","http://www.gemeentegeschiedenis.nl/amco/10010","771",0,"1923","1973","Noord-Brabant","zuid","Eethen, Genderen en Heesbeen",1255,"zuidwest"
