medewerker,route,len
2,01050000204071000006000000010200000002000000000000004088F940000000003CCB1D41000000004089F940000000009CCB1D41010200000002000000FED478E93A88F940BC7493982BCC1D41000000004089F940000000009CCB1D410102000000020000001F29BE1DF988F940651C90E32ECE1D41E8514EE65789F9405B4B597CB9CE1D41010200000002000000A80DF7202B85F940DA5C884427CD1D411F29BE1DF988F940651C90E32ECE1D41010200000003000000000000008087F940000000009CCC1D41000000000088F940000000004CCC1D41FED478E93A88F940BC7493982BCC1D41010200000004000000A80DF7202B85F940DA5C884427CD1D4100000000F085F9400000000004CD1D41000000000087F94000000000B4CC1D41000000008087F940000000009CCC1D41,275
28,01050000204071000002000000010200000002000000A80DF7202B85F940DA5C884427CD1D411F29BE1DF988F940651C90E32ECE1D410102000000020000001F29BE1DF988F940651C90E32ECE1D41E8514EE65789F9405B4B597CB9CE1D41,125
31,0105000020407100000400000001020000000200000000000000108BF94000000000F4CC1D4100000000B08CF9400000000020CD1D410102000000020000001F29BE1DF988F940651C90E32ECE1D41E8514EE65789F9405B4B597CB9CE1D410102000000030000006D2ABA50DF89F940EC113E66A8CD1D41859DEA917D8AF94008B53F334ACD1D4100000000108BF94000000000F4CC1D410102000000020000006D2ABA50DF89F940EC113E66A8CD1D411F29BE1DF988F940651C90E32ECE1D41,149
40,01050000204071000007000000010200000002000000000000005078F94000000000CCCC1D4100000000F078F9400000000018CD1D4101020000000300000000000000F078F9400000000018CD1D41000000009079F9400000000024CD1D4100000000A07BF9400000000050CD1D4101020000000300000000000000A07BF9400000000050CD1D4100000000907CF9400000000064CD1D4100000000107EF9400000000088CD1D4101020000000200000000000000F085F9400000000070CE1D41E8514EE65789F9405B4B597CB9CE1D41010200000002000000000000005085F9400000000054CE1D4100000000F085F9400000000070CE1D4101020000000300000000000000107EF9400000000088CD1D4159F208DF0480F940973CC237C5CD1D41000000005084F940000000003CCE1D41010200000002000000000000005084F940000000003CCE1D41000000005085F9400000000054CE1D41,305
60,010500002040710000030000000102000000020000001F29BE1DF988F940651C90E32ECE1D41E8514EE65789F9405B4B597CB9CE1D410102000000030000006D2ABA50DF89F940EC113E66A8CD1D41859DEA917D8AF94008B53F334ACD1D4100000000108BF94000000000F4CC1D410102000000020000006D2ABA50DF89F940EC113E66A8CD1D411F29BE1DF988F940651C90E32ECE1D41,121
67,0105000020407100000500000001020000000300000000000000A07BF9400000000050CD1D4100000000907CF9400000000064CD1D4100000000107EF9400000000088CD1D4101020000000300000000000000107EF9400000000088CD1D4159F208DF0480F940973CC237C5CD1D41000000005084F940000000003CCE1D4101020000000200000000000000F085F9400000000070CE1D41E8514EE65789F9405B4B597CB9CE1D41010200000002000000000000005084F940000000003CCE1D41000000005085F9400000000054CE1D41010200000002000000000000005085F9400000000054CE1D4100000000F085F9400000000070CE1D41,238
69,010500002040710000030000000102000000020000001F29BE1DF988F940651C90E32ECE1D41E8514EE65789F9405B4B597CB9CE1D410102000000030000006D2ABA50DF89F940EC113E66A8CD1D41859DEA917D8AF94008B53F334ACD1D4100000000108BF94000000000F4CC1D410102000000020000006D2ABA50DF89F940EC113E66A8CD1D411F29BE1DF988F940651C90E32ECE1D41,121
80,0105000020407100000500000001020000000200000000000000C08BF940000000008CCC1D4100000000A08CF9400000000004CC1D4101020000000200000000000000108BF94000000000F4CC1D4100000000C08BF940000000008CCC1D410102000000020000001F29BE1DF988F940651C90E32ECE1D41E8514EE65789F9405B4B597CB9CE1D410102000000030000006D2ABA50DF89F940EC113E66A8CD1D41859DEA917D8AF94008B53F334ACD1D4100000000108BF94000000000F4CC1D410102000000020000006D2ABA50DF89F940EC113E66A8CD1D411F29BE1DF988F940651C90E32ECE1D41,186
92,01020000204071000003000000E8514EE65789F9405B4B597CB9CE1D4100000000408CF940000000009CCE1D41000000005094F94000000000D0CE1D41,177
112,0102000020407100000200000000000000F085F9400000000070CE1D41E8514EE65789F9405B4B597CB9CE1D41,58
115,010500002040710000030000000102000000020000001F29BE1DF988F940651C90E32ECE1D41E8514EE65789F9405B4B597CB9CE1D410102000000030000006D2ABA50DF89F940EC113E66A8CD1D41859DEA917D8AF94008B53F334ACD1D4100000000108BF94000000000F4CC1D410102000000020000006D2ABA50DF89F940EC113E66A8CD1D411F29BE1DF988F940651C90E32ECE1D41,121
122,0102000020407100000200000000000000F085F9400000000070CE1D41E8514EE65789F9405B4B597CB9CE1D41,58
168,01020000204071000003000000E8514EE65789F9405B4B597CB9CE1D4100000000408CF940000000009CCE1D41000000005094F94000000000D0CE1D41,177
189,01050000204071000007000000010200000002000000000000007089F9400000000080CB1D4100000000D08AF94000000000BCCA1D41010200000003000000000000007089F9400000000080CB1D4100000000708CF94000000000FCCB1D4100000000A08CF9400000000004CC1D4101020000000200000000000000C08BF940000000008CCC1D4100000000A08CF9400000000004CC1D410102000000020000001F29BE1DF988F940651C90E32ECE1D41E8514EE65789F9405B4B597CB9CE1D410102000000020000006D2ABA50DF89F940EC113E66A8CD1D411F29BE1DF988F940651C90E32ECE1D4101020000000200000000000000108BF94000000000F4CC1D4100000000C08BF940000000008CCC1D410102000000030000006D2ABA50DF89F940EC113E66A8CD1D41859DEA917D8AF94008B53F334ACD1D4100000000108BF94000000000F4CC1D41,300
193,01020000204071000003000000E8514EE65789F9405B4B597CB9CE1D4100000000408CF940000000009CCE1D41000000005094F94000000000D0CE1D41,177
241,010500002040710000030000000102000000020000001F29BE1DF988F940651C90E32ECE1D41E8514EE65789F9405B4B597CB9CE1D410102000000030000006D2ABA50DF89F940EC113E66A8CD1D41859DEA917D8AF94008B53F334ACD1D4100000000108BF94000000000F4CC1D410102000000020000006D2ABA50DF89F940EC113E66A8CD1D411F29BE1DF988F940651C90E32ECE1D41,121
268,0105000020407100000600000001020000000200000000000000A08CF9400000000004CC1D4100000000408EF9400000000018CB1D4101020000000200000000000000C08BF940000000008CCC1D4100000000A08CF9400000000004CC1D410102000000020000001F29BE1DF988F940651C90E32ECE1D41E8514EE65789F9405B4B597CB9CE1D410102000000020000006D2ABA50DF89F940EC113E66A8CD1D411F29BE1DF988F940651C90E32ECE1D4101020000000200000000000000108BF94000000000F4CC1D4100000000C08BF940000000008CCC1D410102000000030000006D2ABA50DF89F940EC113E66A8CD1D41859DEA917D8AF94008B53F334ACD1D4100000000108BF94000000000F4CC1D41,250
270,01050000204071000006000000010200000002000000000000004088F940000000003CCB1D41000000004089F940000000009CCB1D41010200000002000000FED478E93A88F940BC7493982BCC1D41000000004089F940000000009CCB1D410102000000020000001F29BE1DF988F940651C90E32ECE1D41E8514EE65789F9405B4B597CB9CE1D41010200000002000000A80DF7202B85F940DA5C884427CD1D411F29BE1DF988F940651C90E32ECE1D41010200000003000000000000008087F940000000009CCC1D41000000000088F940000000004CCC1D41FED478E93A88F940BC7493982BCC1D41010200000004000000A80DF7202B85F940DA5C884427CD1D4100000000F085F9400000000004CD1D41000000000087F94000000000B4CC1D41000000008087F940000000009CCC1D41,275
279,010500002040710000100000000102000000020000009E53E279AD74F94062AC1D86B2C51D4100000000C075F940000000001CC51D4101020000000B00000000000000D069F94000000000BCC71D4100000000B06AF94000000000A4C71D4100000000406BF9400000000094C71D41842F0801C96CF940E12765975FC71D4167279C0C1D6EF940CFD272AA29C71D4103953BB3AD6FF940FD327E9EE3C61D4178903C2E5571F940E2DB70B492C61D41696E66E1AB72F94010D4646E52C61D41DE6882723873F940033BA89333C61D419838060B0A74F9403E347062FCC51D419E53E279AD74F94062AC1D86B2C51D4101020000000200000000000000D069F94000000000BCC71D4100000000606BF9400000000050C81D4101020000000300000017D9CEF7F76FF9403BDF4F0D64C91D41000000004070F9400000000090C91D41000000003072F9400000000094CA1D41010200000002000000000000003072F9400000000094CA1D4100000000C074F94000000000C0CB1D4101020000000200000000000000606BF9400000000050C81D4100000000F06DF9400000000094C81D4101020000000300000000000000F06DF9400000000094C81D4100000000A06EF94000000000ACC81D4117D9CEF7F76FF9403BDF4F0D64C91D41010200000003000000000000000078F9400000000008CD1D41000000002078F940000000000CCD1D4100000000F078F9400000000018CD1D4101020000000300000000000000F078F9400000000018CD1D41000000009079F9400000000024CD1D4100000000A07BF9400000000050CD1D4101020000000200000000000000F085F9400000000070CE1D41E8514EE65789F9405B4B597CB9CE1D41010200000002000000000000005084F940000000003CCE1D41000000005085F9400000000054CE1D41010200000002000000000000005085F9400000000054CE1D4100000000F085F9400000000070CE1D4101020000000300000000000000A07BF9400000000050CD1D4100000000907CF9400000000064CD1D4100000000107EF9400000000088CD1D4101020000000300000000000000107EF9400000000088CD1D4159F208DF0480F940973CC237C5CD1D41000000005084F940000000003CCE1D4101020000000300000000000000C074F94000000000C0CB1D41000000002077F94000000000D4CC1D41000000005077F9400000000008CD1D41010200000002000000000000005077F9400000000008CD1D41000000000078F9400000000008CD1D41,985
295,0105000020407100000500000001020000000200000000000000108BF94000000000F4CC1D4100000000B08CF9400000000020CD1D4101020000000200000000000000B08CF9400000000020CD1D4100000000808FF940000000006CCD1D410102000000020000001F29BE1DF988F940651C90E32ECE1D41E8514EE65789F9405B4B597CB9CE1D410102000000030000006D2ABA50DF89F940EC113E66A8CD1D41859DEA917D8AF94008B53F334ACD1D4100000000108BF94000000000F4CC1D410102000000020000006D2ABA50DF89F940EC113E66A8CD1D411F29BE1DF988F940651C90E32ECE1D41,198
321,01050000204071000008000000010200000002000000000000005077F9400000000008CD1D41000000000078F9400000000008CD1D41010200000003000000000000000078F9400000000008CD1D41000000002078F940000000000CCD1D4100000000F078F9400000000018CD1D4101020000000300000000000000F078F9400000000018CD1D41000000009079F9400000000024CD1D4100000000A07BF9400000000050CD1D4101020000000200000000000000F085F9400000000070CE1D41E8514EE65789F9405B4B597CB9CE1D41010200000002000000000000005084F940000000003CCE1D41000000005085F9400000000054CE1D41010200000002000000000000005085F9400000000054CE1D4100000000F085F9400000000070CE1D4101020000000300000000000000A07BF9400000000050CD1D4100000000907CF9400000000064CD1D4100000000107EF9400000000088CD1D4101020000000300000000000000107EF9400000000088CD1D4159F208DF0480F940973CC237C5CD1D41000000005084F940000000003CCE1D41,310
375,0105000020407100000500000001020000000300000000000000B07EF9400000000004CB1D410E02281C7180F94012F0E74D87CB1D41960BEFB0BC81F94082D27284F5CB1D41010200000002000000960BEFB0BC81F94082D27284F5CB1D4118DE6135D282F94063F0C8A751CC1D410102000000020000001F29BE1DF988F940651C90E32ECE1D41E8514EE65789F9405B4B597CB9CE1D4101020000000200000018DE6135D282F94063F0C8A751CC1D41A80DF7202B85F940DA5C884427CD1D41010200000002000000A80DF7202B85F940DA5C884427CD1D411F29BE1DF988F940651C90E32ECE1D41,297
378,01020000204071000003000000E8514EE65789F9405B4B597CB9CE1D4100000000408CF940000000009CCE1D41000000005094F94000000000D0CE1D41,177
386,0105000020407100001800000001020000000200000000000000F085F9400000000070CE1D41E8514EE65789F9405B4B597CB9CE1D41010200000002000000000000001083F940000000006CCF1D4100000000F085F9400000000070CE1D41010200000006000000000000001083F940000000006CCF1D41000000006083F94000000000C0CF1D41000000008083F9400000000018D01D41000000006083F940000000004CD01D41000000005083F9400000000074D01D41000000004083F9400000000084D01D41010200000003000000000000003077F9400000000098D31D4100000000D077F9400000000078D31D4100000000707AF94000000000E8D21D41010200000002000000678FB346BB77F9403ABD39FEBBD31D41000000003077F9400000000098D31D4101020000000300000074902708DE71F9401075B8FECBD41D4131957C7C1672F940BB798CABF8D41D41000000002073F9400000000078D51D4101020000000200000000000000B066F94000000000F8D51D41000000002073F9400000000078D51D41010200000003000000678FB346BB77F9403ABD39FEBBD31D41CB2500733F75F940C66654200AD41D413A8228AB9471F9403954EAB55BD41D4101020000000200000074902708DE71F9401075B8FECBD41D413A8228AB9471F9403954EAB55BD41D41010200000006000000000000006082F94000000000A0D11D41000000002081F9400000000050D11D4100000000D081F9400000000024D11D41000000005082F94000000000FCD01D4100000000E082F94000000000B4D01D41000000004083F9400000000084D01D4101020000000900000000000000707AF94000000000E8D21D4100000000D07AF94000000000D0D21D4100000000907CF9400000000080D21D4100000000A07DF9400000000078D21D4100000000D07EF9400000000050D21D4100000000807FF9400000000038D21D41000000007080F9400000000004D21D41000000003082F94000000000A8D11D41000000006082F94000000000A0D11D41010200000006000000B1169DEB9C53F940952E46313FD81D4117429E201854F9407D17A52713D81D41000000008054F94000000000F4D71D41000000001055F94000000000ECD71D4100000000805BF9400000000090D71D4100000000605CF9400000000084D71D41010200000004000000B1169DEB9C53F940952E46313FD81D41000000003054F940000000006CD81D41000000002055F94000000000DCD91D41000000004055F940000000002CDA1D4101020000000500000000000000004FF9400000000090DA1D4100000000304FF9400000000098DA1D4100000000604FF940000000009CDA1D4100000000804FF940000000009CDA1D4100000000C04FF940000000009CDA1D4101020000000400000000000000904BF940000000002CDB1D4100000000304DF94000000000F4DA1D4100000000904DF94000000000E4DA1D4100000000004FF9400000000090DA1D41010200000003000000000000006046F9400000000014DF1D41000000008046F9400000000030DF1D41000000009046F9400000000040DF1D41010200000005000000000000001046F9400000000054DE1D41000000002046F9400000000034DE1D41000000003046F94000000000F8DD1D4100000000B046F9400000000080DD1D4193822CC9F346F940F6114877A4DC1D41010200000004000000000000001046F9400000000054DE1D41000000001046F940000000006CDE1D41000000002046F94000000000C8DE1D41000000006046F9400000000014DF1D4101020000000700000041C81304B74AF940BF37ECFB9CDC1D4100000000B04AF9408CB5C35070DC1D413DA7C4F36A4AF940285D8C6242DC1D41CB08A2AC524AF940AD99CDD2BFDB1D4100000000D04AF940000000006CDB1D4100000000504BF940000000003CDB1D4100000000904BF940000000002CDB1D4101020000000300000093822CC9F346F940F6114877A4DC1D41490AB224CF47F9400E7DCF18A9DC1D4141C81304B74AF940BF37ECFB9CDC1D41010200000003000000000000004050F940000000005CDA1D41000000008050F940000000005CDA1D41000000004055F940000000002CDA1D4101020000000700000000000000C04FF940000000009CDA1D4100000000D04FF9400000000098DA1D41000000000050F9400000000094DA1D41000000002050F9400000000088DA1D41000000004050F940000000007CDA1D41000000005050F940000000006CDA1D41000000004050F940000000005CDA1D4101020000000200000000000000905BF9400000000068D61D4100000000B066F94000000000F8D51D4101020000000200000000000000905BF9400000000068D61D4100000000605CF9400000000084D71D41,1957
394,0105000020407100000200000001020000000200000000000000F085F9400000000070CE1D41E8514EE65789F9405B4B597CB9CE1D41010200000002000000000000001083F940000000006CCF1D4100000000F085F9400000000070CE1D41,136
400,01050000204071000003000000010200000002000000000000009087F9400000000090D01D41000000003089F940000000008CD01D4101020000000200000000000000F085F9400000000070CE1D41E8514EE65789F9405B4B597CB9CE1D4101020000000500000000000000F085F9400000000070CE1D41000000005087F94000000000CCCE1D41000000004088F9400000000070CF1D4100000000C088F94000000000DCCF1D41000000003089F940000000008CD01D41,232
413,0105000020407100000500000001020000000300000000000000A07BF9400000000050CD1D4100000000907CF9400000000064CD1D4100000000107EF9400000000088CD1D4101020000000300000000000000107EF9400000000088CD1D4159F208DF0480F940973CC237C5CD1D41000000005084F940000000003CCE1D4101020000000200000000000000F085F9400000000070CE1D41E8514EE65789F9405B4B597CB9CE1D41010200000002000000000000005084F940000000003CCE1D41000000005085F9400000000054CE1D41010200000002000000000000005085F9400000000054CE1D4100000000F085F9400000000070CE1D41,238
428,010500002040710000060000000102000000020000005FB0C61A087DF94040D32CB093C81D4100000000007CF94000000000C4C81D4101020000000200000000000000007CF94000000000C4C81D41000000004081F9400000000088CA1D410102000000020000001F29BE1DF988F940651C90E32ECE1D41E8514EE65789F9405B4B597CB9CE1D41010200000002000000A80DF7202B85F940DA5C884427CD1D411F29BE1DF988F940651C90E32ECE1D41010200000002000000000000004081F9400000000088CA1D41000000008087F940000000009CCC1D41010200000004000000A80DF7202B85F940DA5C884427CD1D4100000000F085F9400000000004CD1D41000000000087F94000000000B4CC1D41000000008087F940000000009CCC1D41,504
447,010500002040710000030000000102000000020000001F29BE1DF988F940651C90E32ECE1D41E8514EE65789F9405B4B597CB9CE1D41010200000004000000A80DF7202B85F940DA5C884427CD1D4100000000F085F9400000000004CD1D41000000000087F94000000000B4CC1D41000000008087F940000000009CCC1D41010200000002000000A80DF7202B85F940DA5C884427CD1D411F29BE1DF988F940651C90E32ECE1D41,176
461,01050000204071000004000000010200000003000000000000008087F940000000009CCC1D41000000000088F940000000004CCC1D41FED478E93A88F940BC7493982BCC1D410102000000020000001F29BE1DF988F940651C90E32ECE1D41E8514EE65789F9405B4B597CB9CE1D41010200000004000000A80DF7202B85F940DA5C884427CD1D4100000000F085F9400000000004CD1D41000000000087F94000000000B4CC1D41000000008087F940000000009CCC1D41010200000002000000A80DF7202B85F940DA5C884427CD1D411F29BE1DF988F940651C90E32ECE1D41,207
463,0105000020407100000400000001020000000300000000000000107EF9400000000088CD1D4159F208DF0480F940973CC237C5CD1D41000000005084F940000000003CCE1D4101020000000200000000000000F085F9400000000070CE1D41E8514EE65789F9405B4B597CB9CE1D41010200000002000000000000005084F940000000003CCE1D41000000005085F9400000000054CE1D41010200000002000000000000005085F9400000000054CE1D4100000000F085F9400000000070CE1D41,196
