my_medewerkersnummer,uri_naam
1,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
2,http://www.gemeentegeschiedenis.nl/gemeentenaam/Groenlo
3,http://www.gemeentegeschiedenis.nl/gemeentenaam/Amsterdam
4,http://www.gemeentegeschiedenis.nl/gemeentenaam/Vorden
5,http://www.gemeentegeschiedenis.nl/gemeentenaam/Kampen
6,http://www.gemeentegeschiedenis.nl/gemeentenaam/Noordwijk
7,http://www.gemeentegeschiedenis.nl/gemeentenaam/Heemstede
8,http://www.gemeentegeschiedenis.nl/gemeentenaam/Amsterdam
9,http://www.gemeentegeschiedenis.nl/gemeentenaam/Nieuw-Helvoet
10,http://www.gemeentegeschiedenis.nl/gemeentenaam/Kapelle
11,http://www.gemeentegeschiedenis.nl/gemeentenaam/Amsterdam
12,http://www.gemeentegeschiedenis.nl/gemeentenaam/Heiloo
13,http://www.gemeentegeschiedenis.nl/gemeentenaam/Bennebroek
14,http://www.gemeentegeschiedenis.nl/gemeentenaam/Zutphen
15,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
16,http://www.gemeentegeschiedenis.nl/gemeentenaam/Hekelingen
17,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
18,http://www.gemeentegeschiedenis.nl/gemeentenaam/Nijmegen
19,http://www.gemeentegeschiedenis.nl/gemeentenaam/Leiden
20,http://www.gemeentegeschiedenis.nl/gemeentenaam/Alblasserdam
21,http://www.gemeentegeschiedenis.nl/gemeentenaam/Sassenheim
22,http://www.gemeentegeschiedenis.nl/gemeentenaam/Waddinxveen_2
23,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
24,http://www.gemeentegeschiedenis.nl/gemeentenaam/Bergschenhoek
25,http://www.gemeentegeschiedenis.nl/gemeentenaam/s-Gravenhage
26,http://www.gemeentegeschiedenis.nl/gemeentenaam/Opperdoes
27,http://www.gemeentegeschiedenis.nl/gemeentenaam/Leiden
28,http://www.gemeentegeschiedenis.nl/gemeentenaam/Baarn
29,http://www.gemeentegeschiedenis.nl/gemeentenaam/Bolsward
30,http://www.gemeentegeschiedenis.nl/gemeentenaam/Amersfoort
31,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
32,http://www.gemeentegeschiedenis.nl/gemeentenaam/Moerkapelle
33,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
34,http://www.gemeentegeschiedenis.nl/gemeentenaam/Rotterdam
35,http://www.gemeentegeschiedenis.nl/gemeentenaam/Assendelft
36,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
37,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
38,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
39,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
40,http://www.gemeentegeschiedenis.nl/gemeentenaam/Olst
41,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
42,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
43,http://www.gemeentegeschiedenis.nl/gemeentenaam/Hilversum
44,http://www.gemeentegeschiedenis.nl/gemeentenaam/Enkhuizen
45,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
46,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
48,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
49,http://www.gemeentegeschiedenis.nl/gemeentenaam/Vlissingen
