volgorde,afdeling,functiegroep,categorie,aantal_eind1902,aantal_april1903,aantal_eind1903
1,Directie,Chef der werkplaats,ambtenaren en beambten,1,,1
2,Directie,Ingenieurs,ambtenaren en beambten,3,,3
3,Directie,Adjunct-ingenieur,ambtenaren en beambten,1,,1
4,Directie,Aspirant Adjuct-Ingenieur,ambtenaren en beambten,,,1
5,Directie,Magazijnmeester,ambtenaren en beambten,1,,1
6,Directie,Chef de bureau,ambtenaren en beambten,1,,1
7,Directie,"Opzichters-teekenaar, teekenaars en leerlingen",ambtenaren en beambten,8,,8
8,Directie,"Commiezen, klerken, leerlingklerk en schrijvers",ambtenaren en beambten,39,,38
9,Locomotieven,Opzichters,ambtenaren en beambten,2,,2
10,Locomotieven,Assistent-Opzichters,ambtenaren en beambten,10,,8
11,Locomotieven,Machine-bankwerkers,werklieden,229,227,215
12,Locomotieven,"Draaiers, boorders, schavers",werklieden,162,162,160
13,Locomotieven,Vuurwerkers,werklieden,63,61,64
14,Locomotieven,Voorslagers,werklieden,61,62,64
15,Locomotieven,Ketelmakers,werklieden,120,,128
16,Locomotieven,Ketelbikkers,werklieden,8,,8
17,Locomotieven,Koper- en composietgieters,werklieden,21,20,20
18,Locomotieven,Koperslagers,werklieden,22,23,22
19,Locomotieven,Blikslagers,werklieden,9,10,13
20,Locomotieven,Modelmakers,werklieden,6,6,6
21,Locomotieven,Sjouwerlieden,werklieden,28,,33
22,Locomotieven,Locomotiefpoetsers,werklieden,41,41,39
23,Rijtuigen en Wagens,Opzichters,ambtenaren en beambten,2,,2
24,Rijtuigen en Wagens,Assistent-Opzichters,ambtenaren en beambten,7,,9
25,Rijtuigen en Wagens,Wagenmakers,werklieden,154,154,162
26,Rijtuigen en Wagens,Zadelmakers,werklieden,54,54,53
27,Rijtuigen en Wagens,Dekkleedmakers,werklieden,21,21,19
28,Rijtuigen en Wagens,Schilders,werklieden,74,74,75
29,Rijtuigen en Wagens,Wagen-bankwerkers,werklieden,120,120,116
30,Rijtuigen en Wagens,Wagenlichters,werklieden,46,45,60
31,Rijtuigen en Wagens,Draaiers en boorders,werklieden,16,21,23
32,Rijtuigen en Wagens,Wielendraaiers en wielbandleggers,werklieden,39,39,35
33,Rijtuigen en Wagens,Rijtuigpoetser en -poetsters,werklieden,17,18,18
34,Algemene dienst,Spoorleggers,werklieden,6,,6
35,Algemene dienst,Metselaars,werklieden,3,,3
36,Algemene dienst,Electriciens,werklieden,1,,2
37,Algemene dienst,Machinisten,werklieden,3,,3
38,Algemene dienst,Proefrit-machinist,werklieden,2,,1
39,Algemene dienst,Rangeer-machinist,werklieden,1,,1
40,Algemene dienst,Stokers,werklieden,2,,2
41,Algemene dienst,Rangeerstoker,werklieden,1,,1
42,Algemene dienst,Rangeerders,werklieden,2,,2
43,Algemene dienst,Loopkraandrijver,werklieden,2,,3
44,Algemene dienst,Drijvers van val- en stoomhamers,werklieden,5,5,5
45,Algemene dienst,Nachtstokers,werklieden,2,,2
46,Algemene dienst,Portier,werklieden,1,,1
47,Algemene dienst,Boden,werklieden,2,,2
48,Algemene dienst,Magazijnsknechts,werklieden,11,,11
49,Algemene dienst,Nachtwachts,werklieden,2,,2
50,Algemene dienst,Loopjongens,werklieden,3,,3
