my_medewerkersnummer,mijn_wijknaam,afdeling_kohier,kiesdistrict_GR1899,woningbouwvereniging
1,burgwal,1,1,
2,amsterdamse buurt,1,1,
3,schoten,0,0,
4,amsterdamse buurt,1,1,
5,burgwal,1,2,
6,stationsbuurt,6,2,
7,amsterdamse buurt,1,1,nut door spaarzaamheid
8,amsterdamse buurt,1,1,
9,leidse buurt,4,3,
10,rozenprieel,3,3,
11,amsterdamse buurt,1,1,
12,amsterdamse buurt,1,1,
13,amsterdamse buurt,1,1,
14,rozenprieel,3,3,
15,bakenes,2,2,
16,burgwal,1,1,
17,amsterdamse buurt,1,1,
18,amsterdamse buurt,1,1,nut door spaarzaamheid
19,rozenprieel,3,3,
20,frans hals buurt,6,2,
21,centrum,5,1,
22,bakenes,2,2,
23,schoten,0,0,
24,amsterdamse buurt,1,1,
25,rozenprieel,3,3,
26,amsterdamse buurt,1,1,
27,rozenprieel,3,3,
28,amsterdamse buurt,1,1,
29,rozenprieel,3,3,
30,stationsbuurt,6,2,
31,amsterdamse buurt,1,1,
32,schoten,0,0,
33,vijfhoek,4,3,
34,burgwal,1,1,
35,amsterdamse buurt,1,1,nut door spaarzaamheid
36,burgwal,1,1,
37,burgwal,1,1,
38,vijfhoek,4,3,
39,burgwal,1,1,
40,burgwal,1,1,
41,leidse buurt,4,3,
42,vijfhoek,4,3,
43,amsterdamse buurt,1,1,
44,amsterdamse buurt,1,1,
45,amsterdamse buurt,1,1,
46,rozenprieel,3,3,
48,amsterdamse buurt,1,1,
49,burgwal,1,2,
50,frans hals buurt,6,2,
51,amsterdamse buurt,1,1,nut door spaarzaamheid
52,rozenprieel,3,3,
53,rozenprieel,3,3,
54,amsterdamse buurt,1,1,nut door spaarzaamheid
55,burgwal,1,1,
56,centrum,5,2,
57,rozenprieel,3,3,
58,rozenprieel,3,3,
59,rozenprieel,3,3,
60,amsterdamse buurt,1,1,
61,stationsbuurt,6,2,
62,burgwal,1,1,
63,bakenes,2,2,
64,amsterdamse buurt,1,1,
65,centrum,2,1,
66,rozenprieel,3,3,
67,burgwal,1,2,
68,vijfhoek,4,3,
69,amsterdamse buurt,1,1,
70,heiligland,3,3,
71,burgwal,1,1,
72,amsterdamse buurt,1,1,ons doel en streven
73,frans hals buurt,6,2,
74,frans hals buurt,6,1,
75,leidse buurt,4,3,
76,rozenprieel,3,3,
77,zijlweg,5,2,
78,bakenes,2,2,
79,burgwal,1,1,
80,amsterdamse buurt,1,1,
81,amsterdamse buurt,1,1,nut door spaarzaamheid
82,frans hals buurt,6,2,
83,leidse buurt,4,3,
84,bakenes,2,2,
85,hout,4,3,
86,burgwal,1,1,
87,burgwal,1,1,
88,amsterdamse buurt,1,1,nut door spaarzaamheid
89,centrum,5,2,
90,heiligland,3,3,
91,rozenprieel,3,3,
92,amsterdamse buurt,1,1,
93,vijfhoek,4,3,
94,amsterdamse buurt,1,1,
95,leidse buurt,4,3,
96,hout,3,3,
98,heiligland,3,3,
99,schoten,0,0,
100,leidse buurt,4,3,
101,rozenprieel,3,3,
102,vijfhoek,4,3,
103,kamp,3,3,
104,amsterdamse buurt,1,1,
105,centrum,5,2,
106,frans hals buurt,6,2,
107,amsterdamse buurt,1,1,
108,amsterdamse buurt,1,1,
109,vijfhoek,4,3,
110,amsterdamse buurt,1,1,ons doel en streven
111,leidse buurt,4,3,
112,burgwal,1,1,
113,amsterdamse buurt,1,1,nut door spaarzaamheid
114,vijfhoek,4,3,
115,amsterdamse buurt,1,1,
116,amsterdamse buurt,1,1,nut door spaarzaamheid
117,amsterdamse buurt,1,1,nut door spaarzaamheid
118,centrum,5,1,
119,stationsbuurt,6,2,
120,leidse buurt,4,3,
121,rozenprieel,3,3,
122,burgwal,1,1,
123,rozenprieel,3,3,
124,amsterdamse buurt,1,1,
125,heiligland,3,3,
126,burgwal,1,1,
127,frans hals buurt,6,2,
128,vijfhoek,4,3,
129,burgwal,1,2,
130,amsterdamse buurt,1,1,
131,amsterdamse buurt,1,1,
132,burgwal,1,1,
133,amsterdamse buurt,1,1,
134,amsterdamse buurt,1,1,
135,rozenprieel,3,3,
136,burgwal,1,1,
137,rozenprieel,3,3,
138,rozenprieel,3,3,
139,leidse buurt,4,3,
140,rozenprieel,3,3,
141,rozenprieel,3,3,
142,burgwal,1,2,
143,amsterdamse buurt,1,1,
144,leidse buurt,4,3,
