naam,uri_naam,uri_amco,amco,cbs_code,geonames,startjaar,eindjaar,provincie
Aa en Hunze,http://www.gemeentegeschiedenis.nl/gemeentenaam/Aa_en_Hunze,http://www.gemeentegeschiedenis.nl/amco/10787,10787,1680,6544296,1998,heden,Drenthe
Anloo,http://www.gemeentegeschiedenis.nl/gemeentenaam/Anloo,http://www.gemeentegeschiedenis.nl/amco/10787,10787,105,0,oudsher,1998,Drenthe
Assen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Assen,http://www.gemeentegeschiedenis.nl/amco/10522,10522,106,2759632,oudsher,heden,Drenthe
Beilen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Beilen,http://www.gemeentegeschiedenis.nl/amco/10520,10520,107,0,oudsher,1998,Drenthe
Borger,http://www.gemeentegeschiedenis.nl/gemeentenaam/Borger,http://www.gemeentegeschiedenis.nl/amco/10448,10448,108,0,oudsher,1998,Drenthe
Borger-Odoorn,http://www.gemeentegeschiedenis.nl/gemeentenaam/Borger-Odoorn,http://www.gemeentegeschiedenis.nl/amco/10448,10448,1681,2758619,1998,heden,Drenthe
Coevorden,http://www.gemeentegeschiedenis.nl/gemeentenaam/Coevorden,http://www.gemeentegeschiedenis.nl/amco/10383,10383,109,2757936,oudsher,heden,Drenthe
Dalen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Dalen,http://www.gemeentegeschiedenis.nl/amco/11004,11004,110,0,oudsher,1998,Drenthe
Diever,http://www.gemeentegeschiedenis.nl/gemeentenaam/Diever,http://www.gemeentegeschiedenis.nl/amco/10418,10418,111,0,oudsher,1998,Drenthe
Dwingeloo,http://www.gemeentegeschiedenis.nl/gemeentenaam/Dwingeloo,http://www.gemeentegeschiedenis.nl/amco/10331,10331,112,0,oudsher,1998,Drenthe
Eelde,http://www.gemeentegeschiedenis.nl/gemeentenaam/Eelde,http://www.gemeentegeschiedenis.nl/amco/10622,10622,113,0,oudsher,1998,Drenthe
Emmen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Emmen,http://www.gemeentegeschiedenis.nl/amco/11180,11180,114,2756134,oudsher,heden,Drenthe
Gasselte,http://www.gemeentegeschiedenis.nl/gemeentenaam/Gasselte,http://www.gemeentegeschiedenis.nl/amco/11099,11099,115,0,oudsher,1998,Drenthe
Gieten,http://www.gemeentegeschiedenis.nl/gemeentenaam/Gieten,http://www.gemeentegeschiedenis.nl/amco/10506,10506,116,0,oudsher,1998,Drenthe
Havelte,http://www.gemeentegeschiedenis.nl/gemeentenaam/Havelte,http://www.gemeentegeschiedenis.nl/amco/10186,10186,117,0,oudsher,1998,Drenthe
Hoogeveen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Hoogeveen,http://www.gemeentegeschiedenis.nl/amco/10839,10839,118,2753718,oudsher,heden,Drenthe
Meppel,http://www.gemeentegeschiedenis.nl/gemeentenaam/Meppel,http://www.gemeentegeschiedenis.nl/amco/11204,11204,119,2750946,oudsher,heden,Drenthe
Midden-Drenthe,http://www.gemeentegeschiedenis.nl/gemeentenaam/Midden-Drenthe,http://www.gemeentegeschiedenis.nl/amco/10520,10520,1731,6544297,2000,heden,Drenthe
Middenveld,http://www.gemeentegeschiedenis.nl/gemeentenaam/Middenveld,http://www.gemeentegeschiedenis.nl/amco/10520,10520,1697,0,1998,2000,Drenthe
Nijeveen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Nijeveen,http://www.gemeentegeschiedenis.nl/amco/10774,10774,121,0,oudsher,1998,Drenthe
Noordenveld,http://www.gemeentegeschiedenis.nl/gemeentenaam/Noordenveld,http://www.gemeentegeschiedenis.nl/amco/10699,10699,1699,6544287,1998,heden,Drenthe
Norg,http://www.gemeentegeschiedenis.nl/gemeentenaam/Norg,http://www.gemeentegeschiedenis.nl/amco/10608,10608,120,0,oudsher,1998,Drenthe
Odoorn,http://www.gemeentegeschiedenis.nl/gemeentenaam/Odoorn,http://www.gemeentegeschiedenis.nl/amco/11320,11320,122,0,oudsher,1998,Drenthe
Oosterhesselen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Oosterhesselen,http://www.gemeentegeschiedenis.nl/amco/10490,10490,123,0,1819,1998,Drenthe
Peize,http://www.gemeentegeschiedenis.nl/gemeentenaam/Peize,http://www.gemeentegeschiedenis.nl/amco/10501,10501,124,0,1819,1998,Drenthe
Roden,http://www.gemeentegeschiedenis.nl/gemeentenaam/Roden,http://www.gemeentegeschiedenis.nl/amco/10699,10699,125,0,oudsher,1998,Drenthe
Rolde,http://www.gemeentegeschiedenis.nl/gemeentenaam/Rolde,http://www.gemeentegeschiedenis.nl/amco/10470,10470,126,0,oudsher,1998,Drenthe
Ruinen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Ruinen,http://www.gemeentegeschiedenis.nl/amco/10629,10629,127,0,oudsher,1998,Drenthe
Ruinerwold,http://www.gemeentegeschiedenis.nl/gemeentenaam/Ruinerwold,http://www.gemeentegeschiedenis.nl/amco/10944,10944,128,0,oudsher,1998,Drenthe
Schoonebeek,http://www.gemeentegeschiedenis.nl/gemeentenaam/Schoonebeek,http://www.gemeentegeschiedenis.nl/amco/10064,10064,129,0,1884,1998,Drenthe
Sleen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Sleen,http://www.gemeentegeschiedenis.nl/amco/10489,10489,130,0,1819,1998,Drenthe
Smilde,http://www.gemeentegeschiedenis.nl/gemeentenaam/Smilde,http://www.gemeentegeschiedenis.nl/amco/11033,11033,131,0,oudsher,1998,Drenthe
Tynaarlo,http://www.gemeentegeschiedenis.nl/gemeentenaam/Tynaarlo,http://www.gemeentegeschiedenis.nl/amco/10002,10002,1730,6544282,1999,heden,Drenthe
Vledder,http://www.gemeentegeschiedenis.nl/gemeentenaam/Vledder,http://www.gemeentegeschiedenis.nl/amco/11120,11120,132,0,1819,1998,Drenthe
Vries,http://www.gemeentegeschiedenis.nl/gemeentenaam/Vries,http://www.gemeentegeschiedenis.nl/amco/10630,10630,133,0,oudsher,1998,Drenthe
Westerbork,http://www.gemeentegeschiedenis.nl/gemeentenaam/Westerbork,http://www.gemeentegeschiedenis.nl/amco/11095,11095,134,0,oudsher,1998,Drenthe
Westerveld,http://www.gemeentegeschiedenis.nl/gemeentenaam/Westerveld,http://www.gemeentegeschiedenis.nl/amco/10186,10186,1701,6544239,1998,heden,Drenthe
De Wijk,http://www.gemeentegeschiedenis.nl/gemeentenaam/De_Wijk,http://www.gemeentegeschiedenis.nl/amco/10753,10753,135,0,oudsher,1998,Drenthe
De Wolden,http://www.gemeentegeschiedenis.nl/gemeentenaam/De_Wolden,http://www.gemeentegeschiedenis.nl/amco/10262,10262,1690,6544227,1998,heden,Drenthe
Zuidlaren,http://www.gemeentegeschiedenis.nl/gemeentenaam/Zuidlaren,http://www.gemeentegeschiedenis.nl/amco/10002,10002,136,0,oudsher,1999,Drenthe
Zuidwolde,http://www.gemeentegeschiedenis.nl/gemeentenaam/Zuidwolde,http://www.gemeentegeschiedenis.nl/amco/10262,10262,137,0,oudsher,1998,Drenthe
Zweeloo,http://www.gemeentegeschiedenis.nl/gemeentenaam/Zweeloo,http://www.gemeentegeschiedenis.nl/amco/10872,10872,138,0,oudsher,1998,Drenthe
