naam,uri_naam,uri_amco,amco,cbs_code,geonames,startjaar,eindjaar,provincie
Achtkarspelen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Achtkarspelen,http://www.gemeentegeschiedenis.nl/amco/10199,10199,59,2759982,1816,heden,Friesland
Ængwirden,http://www.gemeentegeschiedenis.nl/gemeentenaam/Aengwirden,http://www.gemeentegeschiedenis.nl/amco/10157,10157,1006,0,1816,1934,Friesland
Akkrum,http://www.gemeentegeschiedenis.nl/gemeentenaam/Akkrum,http://www.gemeentegeschiedenis.nl/amco/10140,10140,,0,oudsher,1816,Friesland
Almenum,http://www.gemeentegeschiedenis.nl/gemeentenaam/Almenum,http://www.gemeentegeschiedenis.nl/amco/10001,10001,,0,oudsher,1816,Friesland
Ameland,http://www.gemeentegeschiedenis.nl/gemeentenaam/Ameland,http://www.gemeentegeschiedenis.nl/amco/11153,11153,60,2759844,oudsher,heden,Friesland
Anjum,http://www.gemeentegeschiedenis.nl/gemeentenaam/Anjum,http://www.gemeentegeschiedenis.nl/amco/10158,10158,,0,oudsher,1816,Friesland
Arum,http://www.gemeentegeschiedenis.nl/gemeentenaam/Arum,http://www.gemeentegeschiedenis.nl/amco/11440,11440,,0,oudsher,1816,Friesland
Augustinusga,http://www.gemeentegeschiedenis.nl/gemeentenaam/Augustinusga,http://www.gemeentegeschiedenis.nl/amco/11060,11060,,0,oudsher,1816,Friesland
Baarderadeel,http://www.gemeentegeschiedenis.nl/gemeentenaam/Baarderadeel,http://www.gemeentegeschiedenis.nl/amco/10422,10422,61,0,1816,1984,Friesland
Balk,http://www.gemeentegeschiedenis.nl/gemeentenaam/Balk,http://www.gemeentegeschiedenis.nl/amco/10036,10036,,0,oudsher,1816,Friesland
Barradeel,http://www.gemeentegeschiedenis.nl/gemeentenaam/Barradeel,http://www.gemeentegeschiedenis.nl/amco/10156,10156,62,0,1816,1984,Friesland
