naam,uri_naam,uri_amco,amco,cbs_code,geonames,startjaar,eindjaar,provincie
Aalst [Ge],http://www.gemeentegeschiedenis.nl/gemeentenaam/Aalst_Ge,http://www.gemeentegeschiedenis.nl/amco/10228,10228,,0,oudsher,1818,Gelderland
Aalten,http://www.gemeentegeschiedenis.nl/gemeentenaam/Aalten,http://www.gemeentegeschiedenis.nl/amco/11046,11046,197,2760122,oudsher,heden,Gelderland
Afferden [Ge],http://www.gemeentegeschiedenis.nl/gemeentenaam/Afferden_Ge,http://www.gemeentegeschiedenis.nl/amco/11015,11015,,0,oudsher,1818,Gelderland
Alphen [Ge],http://www.gemeentegeschiedenis.nl/gemeentenaam/Alphen_Ge,http://www.gemeentegeschiedenis.nl/amco/10995,10995,,0,oudsher,1818,Gelderland
Ambt Doetinchem,http://www.gemeentegeschiedenis.nl/gemeentenaam/Ambt_Doetinchem,http://www.gemeentegeschiedenis.nl/amco/10396,10396,1010,0,1818,1920,Gelderland
Ammerzoden,http://www.gemeentegeschiedenis.nl/gemeentenaam/Ammerzoden,http://www.gemeentegeschiedenis.nl/amco/10151,10151,198,0,oudsher,1999,Gelderland
Angerlo,http://www.gemeentegeschiedenis.nl/gemeentenaam/Angerlo,http://www.gemeentegeschiedenis.nl/amco/11131,11131,199,0,oudsher,2005,Gelderland
Apeldoorn,http://www.gemeentegeschiedenis.nl/gemeentenaam/Apeldoorn,http://www.gemeentegeschiedenis.nl/amco/11075,11075,200,2759705,oudsher,heden,Gelderland
Appeltern,http://www.gemeentegeschiedenis.nl/gemeentenaam/Appeltern,http://www.gemeentegeschiedenis.nl/amco/11296,11296,201,0,oudsher,1984,Gelderland
Arnhem,http://www.gemeentegeschiedenis.nl/gemeentenaam/Arnhem,http://www.gemeentegeschiedenis.nl/amco/10795,10795,202,2759660,oudsher,heden,Gelderland
Balgoij,http://www.gemeentegeschiedenis.nl/gemeentenaam/Balgoij,http://www.gemeentegeschiedenis.nl/amco/10849,10849,1016,0,oudsher,1923,Gelderland
Barneveld,http://www.gemeentegeschiedenis.nl/gemeentenaam/Barneveld,http://www.gemeentegeschiedenis.nl/amco/10906,10906,203,2759406,oudsher,heden,Gelderland
Batenburg,http://www.gemeentegeschiedenis.nl/gemeentenaam/Batenburg,http://www.gemeentegeschiedenis.nl/amco/10921,10921,204,0,oudsher,1984,Gelderland
Beekbergen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Beekbergen,http://www.gemeentegeschiedenis.nl/amco/11390,11390,,0,oudsher,1818,Gelderland
Beek [Ge],http://www.gemeentegeschiedenis.nl/gemeentenaam/Beek_Ge,http://www.gemeentegeschiedenis.nl/amco/10408,10408,,,oudsher,1818,Gelderland
Beesd,http://www.gemeentegeschiedenis.nl/gemeentenaam/Beesd,http://www.gemeentegeschiedenis.nl/amco/10259,10259,205,0,oudsher,1978,Gelderland
Beltrum,http://www.gemeentegeschiedenis.nl/gemeentenaam/Beltrum,http://www.gemeentegeschiedenis.nl/amco/10251,10251,,0,oudsher,1819,Gelderland
Bemmel,http://www.gemeentegeschiedenis.nl/gemeentenaam/Bemmel,http://www.gemeentegeschiedenis.nl/amco/10744,10744,206,0,oudsher,2003,Gelderland
Bennekom,http://www.gemeentegeschiedenis.nl/gemeentenaam/Bennekom,http://www.gemeentegeschiedenis.nl/amco/11179,11179,,0,oudsher,1818,Gelderland
Bergh,http://www.gemeentegeschiedenis.nl/gemeentenaam/Bergh,http://www.gemeentegeschiedenis.nl/amco/10350,10350,207,0,1821,2005,Gelderland
Bergharen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Bergharen,http://www.gemeentegeschiedenis.nl/amco/10883,10883,208,0,oudsher,1984,Gelderland
Berkelland,http://www.gemeentegeschiedenis.nl/gemeentenaam/Berkelland,http://www.gemeentegeschiedenis.nl/amco/10436,10436,1859,6544286,2005,heden,Gelderland
Beuningen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Beuningen,http://www.gemeentegeschiedenis.nl/amco/10417,10417,209,2759014,oudsher,heden,Gelderland
Beusichem,http://www.gemeentegeschiedenis.nl/gemeentenaam/Beusichem,http://www.gemeentegeschiedenis.nl/amco/11182,11182,210,0,oudsher,1978,Gelderland
Borculo,http://www.gemeentegeschiedenis.nl/gemeentenaam/Borculo,http://www.gemeentegeschiedenis.nl/amco/11307,11307,211,0,oudsher,2005,Gelderland
Brakel,http://www.gemeentegeschiedenis.nl/gemeentenaam/Brakel,http://www.gemeentegeschiedenis.nl/amco/11125,11125,212,0,oudsher,1999,Gelderland
Bredevoort,http://www.gemeentegeschiedenis.nl/gemeentenaam/Bredevoort,http://www.gemeentegeschiedenis.nl/amco/11295,11295,,0,oudsher,1818,Gelderland
Bronckhorst,http://www.gemeentegeschiedenis.nl/gemeentenaam/Bronckhorst,http://www.gemeentegeschiedenis.nl/amco/11159,11159,1876,6544290,2005,heden,Gelderland
Bruchem,http://www.gemeentegeschiedenis.nl/gemeentenaam/Bruchem,http://www.gemeentegeschiedenis.nl/amco/10791,10791,,0,oudsher,1818,Gelderland
Brummen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Brummen,http://www.gemeentegeschiedenis.nl/amco/10798,10798,213,2758176,oudsher,heden,Gelderland
Buren,http://www.gemeentegeschiedenis.nl/gemeentenaam/Buren,http://www.gemeentegeschiedenis.nl/amco/11286,11286,214,2758095,oudsher,heden,Gelderland
Buurmalsen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Buurmalsen,http://www.gemeentegeschiedenis.nl/amco/10460,10460,215,0,1818,1978,Gelderland
Culemborg,http://www.gemeentegeschiedenis.nl/gemeentenaam/Culemborg,http://www.gemeentegeschiedenis.nl/amco/10342,10342,216,2757871,oudsher,heden,Gelderland
Dalem,http://www.gemeentegeschiedenis.nl/gemeentenaam/Dalem,http://www.gemeentegeschiedenis.nl/amco/11376,11376,,0,oudsher,1818,Gelderland
Deil,http://www.gemeentegeschiedenis.nl/gemeentenaam/Deil,http://www.gemeentegeschiedenis.nl/amco/10057,10057,217,0,oudsher,1978,Gelderland
Didam,http://www.gemeentegeschiedenis.nl/gemeentenaam/Didam,http://www.gemeentegeschiedenis.nl/amco/10153,10153,218,0,oudsher,2005,Gelderland
Dieren,http://www.gemeentegeschiedenis.nl/gemeentenaam/Dieren,http://www.gemeentegeschiedenis.nl/amco/11355,11355,,0,oudsher,1818,Gelderland
Dinxperlo,http://www.gemeentegeschiedenis.nl/gemeentenaam/Dinxperlo,http://www.gemeentegeschiedenis.nl/amco/11154,11154,219,0,oudsher,2005,Gelderland
Dodewaard,http://www.gemeentegeschiedenis.nl/gemeentenaam/Dodewaard,http://www.gemeentegeschiedenis.nl/amco/10647,10647,220,0,1818,2002,Gelderland
Doesburg,http://www.gemeentegeschiedenis.nl/gemeentenaam/Doesburg,http://www.gemeentegeschiedenis.nl/amco/10327,10327,221,2756770,oudsher,heden,Gelderland
Doetinchem,http://www.gemeentegeschiedenis.nl/gemeentenaam/Doetinchem,http://www.gemeentegeschiedenis.nl/amco/10396,10396,222,2756766,1920,heden,Gelderland
Doornspijk,http://www.gemeentegeschiedenis.nl/gemeentenaam/Doornspijk,http://www.gemeentegeschiedenis.nl/amco/10069,10069,223,0,oudsher,1974,Gelderland
Doorwerth,http://www.gemeentegeschiedenis.nl/gemeentenaam/Doorwerth,http://www.gemeentegeschiedenis.nl/amco/11304,11304,1046,0,1818,1923,Gelderland
Dorth,http://www.gemeentegeschiedenis.nl/gemeentenaam/Dorth,http://www.gemeentegeschiedenis.nl/amco/10061,10061,1313,0,1818,1831,Gelderland
Dreumel,http://www.gemeentegeschiedenis.nl/gemeentenaam/Dreumel,http://www.gemeentegeschiedenis.nl/amco/11232,11232,224,0,oudsher,1984,Gelderland
Driel,http://www.gemeentegeschiedenis.nl/gemeentenaam/Driel,http://www.gemeentegeschiedenis.nl/amco/10341,10341,1248,0,oudsher,1944,Gelderland
Druten,http://www.gemeentegeschiedenis.nl/gemeentenaam/Druten,http://www.gemeentegeschiedenis.nl/amco/10068,10068,225,2756538,oudsher,heden,Gelderland
