naam,uri_naam,uri_amco,amco,cbs_code,geonames,startjaar,eindjaar,provincie
Ambt Montfort,http://www.gemeentegeschiedenis.nl/gemeentenaam/Ambt_Montfort,http://www.gemeentegeschiedenis.nl/amco/10456,10456,1679,0,1994,2007,Limburg
Amby,http://www.gemeentegeschiedenis.nl/gemeentenaam/Amby,http://www.gemeentegeschiedenis.nl/amco/10922,10922,883,0,oudsher,1970,Limburg
Amstenrade,http://www.gemeentegeschiedenis.nl/gemeentenaam/Amstenrade,http://www.gemeentegeschiedenis.nl/amco/10062,10062,884,0,oudsher,1982,Limburg
Arcen en Velden,http://www.gemeentegeschiedenis.nl/gemeentenaam/Arcen_en_Velden,http://www.gemeentegeschiedenis.nl/amco/10202,10202,885,0,1816,2010,Limburg
Baexem,http://www.gemeentegeschiedenis.nl/gemeentenaam/Baexem,http://www.gemeentegeschiedenis.nl/amco/11255,11255,886,0,oudsher,1991,Limburg
Beegden,http://www.gemeentegeschiedenis.nl/gemeentenaam/Beegden,http://www.gemeentegeschiedenis.nl/amco/11089,11089,887,0,oudsher,1991,Limburg
Beek [Li],http://www.gemeentegeschiedenis.nl/gemeentenaam/Beek_Li,http://www.gemeentegeschiedenis.nl/amco/11374,11374,888,2759343,oudsher,heden,Limburg
Beesel,http://www.gemeentegeschiedenis.nl/gemeentenaam/Beesel,http://www.gemeentegeschiedenis.nl/amco/10195,10195,889,2759285,oudsher,heden,Limburg
Belfeld,http://www.gemeentegeschiedenis.nl/gemeentenaam/Belfeld,http://www.gemeentegeschiedenis.nl/amco/10292,10292,890,0,oudsher,2001,Limburg
Bemelen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Bemelen,http://www.gemeentegeschiedenis.nl/amco/10878,10878,891,0,oudsher,1982,Limburg
Bergen [Li],http://www.gemeentegeschiedenis.nl/gemeentenaam/Bergen_Li,http://www.gemeentegeschiedenis.nl/amco/11281,11281,893,2759152,oudsher,heden,Limburg
Berg en Terblijt,http://www.gemeentegeschiedenis.nl/gemeentenaam/Berg_en_Terblijt,http://www.gemeentegeschiedenis.nl/amco/10796,10796,892,0,oudsher,1982,Limburg
Bingelrade,http://www.gemeentegeschiedenis.nl/gemeentenaam/Bingelrade,http://www.gemeentegeschiedenis.nl/amco/10967,10967,894,0,oudsher,1982,Limburg
Bocholtz,http://www.gemeentegeschiedenis.nl/gemeentenaam/Bocholtz,http://www.gemeentegeschiedenis.nl/amco/10986,10986,895,0,oudsher,1982,Limburg
Borgharen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Borgharen,http://www.gemeentegeschiedenis.nl/amco/11334,11334,896,0,oudsher,1970,Limburg
Born,http://www.gemeentegeschiedenis.nl/gemeentenaam/Born,http://www.gemeentegeschiedenis.nl/amco/10927,10927,897,0,oudsher,2001,Limburg
Bree,http://www.gemeentegeschiedenis.nl/gemeentenaam/Bree,http://www.gemeentegeschiedenis.nl/amco/11352,11352,,0,oudsher,1818,Limburg
Breust,http://www.gemeentegeschiedenis.nl/gemeentenaam/Breust,http://www.gemeentegeschiedenis.nl/amco/10288,10288,,0,oudsher,1828,Limburg
Broekhuizen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Broekhuizen,http://www.gemeentegeschiedenis.nl/amco/10856,10856,898,0,oudsher,2001,Limburg
Broeksittard,http://www.gemeentegeschiedenis.nl/gemeentenaam/Broeksittard,http://www.gemeentegeschiedenis.nl/amco/10655,10655,1032,0,1817,1942,Limburg
Brunssum,http://www.gemeentegeschiedenis.nl/gemeentenaam/Brunssum,http://www.gemeentegeschiedenis.nl/amco/10533,10533,899,2758173,oudsher,heden,Limburg
Buggenum,http://www.gemeentegeschiedenis.nl/gemeentenaam/Buggenum,http://www.gemeentegeschiedenis.nl/amco/10857,10857,1033,0,oudsher,1942,Limburg
Bunde,http://www.gemeentegeschiedenis.nl/gemeentenaam/Bunde,http://www.gemeentegeschiedenis.nl/amco/10831,10831,900,0,oudsher,1982,Limburg
Cadier,http://www.gemeentegeschiedenis.nl/gemeentenaam/Cadier,http://www.gemeentegeschiedenis.nl/amco/11447,11447,,0,oudsher,1828,Limburg
Cadier en Keer,http://www.gemeentegeschiedenis.nl/gemeentenaam/Cadier_en_Keer,http://www.gemeentegeschiedenis.nl/amco/11447,11447,901,0,1828,1982,Limburg
Echt,http://www.gemeentegeschiedenis.nl/gemeentenaam/Echt,http://www.gemeentegeschiedenis.nl/amco/10941,10941,902,0,oudsher,2003,Limburg
Echt-Susteren,http://www.gemeentegeschiedenis.nl/gemeentenaam/Echt-Susteren,http://www.gemeentegeschiedenis.nl/amco/10941,10941,1711,2756443,2003,heden,Limburg
Eijgelshoven,http://www.gemeentegeschiedenis.nl/gemeentenaam/Eijgelshoven,http://www.gemeentegeschiedenis.nl/amco/10960,10960,904,0,oudsher,1982,Limburg
Eijsden,http://www.gemeentegeschiedenis.nl/gemeentenaam/Eijsden,http://www.gemeentegeschiedenis.nl/amco/10314,10314,905,0,oudsher,2011,Limburg
Eijsden-Margraten,http://www.gemeentegeschiedenis.nl/gemeentenaam/Eijsden-Margraten,http://www.gemeentegeschiedenis.nl/amco/11243,11243,1903,8260046,2011,heden,Limburg
Elsloo,http://www.gemeentegeschiedenis.nl/gemeentenaam/Elsloo,http://www.gemeentegeschiedenis.nl/amco/11187,11187,903,0,oudsher,1982,Limburg
Geleen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Geleen,http://www.gemeentegeschiedenis.nl/amco/10048,10048,906,0,oudsher,2001,Limburg
Gennep,http://www.gemeentegeschiedenis.nl/gemeentenaam/Gennep,http://www.gemeentegeschiedenis.nl/amco/10542,10542,907,2755583,oudsher,heden,Limburg
Geulle,http://www.gemeentegeschiedenis.nl/gemeentenaam/Geulle,http://www.gemeentegeschiedenis.nl/amco/10530,10530,908,0,oudsher,1982,Limburg
Grathem,http://www.gemeentegeschiedenis.nl/gemeentenaam/Grathem,http://www.gemeentegeschiedenis.nl/amco/11008,11008,909,0,oudsher,1991,Limburg
Grevenbicht,http://www.gemeentegeschiedenis.nl/gemeentenaam/Grevenbicht,http://www.gemeentegeschiedenis.nl/amco/10624,10624,910,0,oudsher,1982,Limburg
Gronsveld,http://www.gemeentegeschiedenis.nl/gemeentenaam/Gronsveld,http://www.gemeentegeschiedenis.nl/amco/10323,10323,911,0,oudsher,1982,Limburg
Grubbenvorst,http://www.gemeentegeschiedenis.nl/gemeentenaam/Grubbenvorst,http://www.gemeentegeschiedenis.nl/amco/10176,10176,912,0,oudsher,2001,Limburg
Gulpen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Gulpen,http://www.gemeentegeschiedenis.nl/amco/11032,11032,913,0,oudsher,1999,Limburg
Gulpen-Wittem,http://www.gemeentegeschiedenis.nl/gemeentenaam/Gulpen-Wittem,http://www.gemeentegeschiedenis.nl/amco/11032,11032,1729,6544225,1999,heden,Limburg
Haelen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haelen,http://www.gemeentegeschiedenis.nl/amco/10321,10321,914,0,oudsher,2007,Limburg
Heel [1],http://www.gemeentegeschiedenis.nl/gemeentenaam/Heel_1,http://www.gemeentegeschiedenis.nl/amco/11208,11208,,0,oudsher,1821,Limburg
Heel [2],http://www.gemeentegeschiedenis.nl/gemeentenaam/Heel_2,http://www.gemeentegeschiedenis.nl/amco/11208,11208,1937,0,1991,2007,Limburg
Heel en Panheel,http://www.gemeentegeschiedenis.nl/gemeentenaam/Heel_en_Panheel,http://www.gemeentegeschiedenis.nl/amco/11208,11208,915,0,1821,1991,Limburg
Heer,http://www.gemeentegeschiedenis.nl/gemeentenaam/Heer,http://www.gemeentegeschiedenis.nl/amco/11407,11407,916,0,1828,1970,Limburg
Heer en Keer,http://www.gemeentegeschiedenis.nl/gemeentenaam/Heer_en_Keer,http://www.gemeentegeschiedenis.nl/amco/11407,11407,,0,oudsher,1828,Limburg
Heerlen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Heerlen,http://www.gemeentegeschiedenis.nl/amco/10902,10902,917,2754651,oudsher,heden,Limburg
Helden,http://www.gemeentegeschiedenis.nl/gemeentenaam/Helden,http://www.gemeentegeschiedenis.nl/amco/10205,10205,918,0,oudsher,2010,Limburg
Herten,http://www.gemeentegeschiedenis.nl/gemeentenaam/Herten,http://www.gemeentegeschiedenis.nl/amco/10138,10138,919,0,oudsher,1991,Limburg
Heythuysen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Heythuysen,http://www.gemeentegeschiedenis.nl/amco/10840,10840,920,0,oudsher,2007,Limburg
Hoensbroek,http://www.gemeentegeschiedenis.nl/gemeentenaam/Hoensbroek,http://www.gemeentegeschiedenis.nl/amco/11177,11177,921,0,oudsher,1982,Limburg
Horn,http://www.gemeentegeschiedenis.nl/gemeentenaam/Horn,http://www.gemeentegeschiedenis.nl/amco/11176,11176,922,0,oudsher,1991,Limburg
Horst,http://www.gemeentegeschiedenis.nl/gemeentenaam/Horst,http://www.gemeentegeschiedenis.nl/amco/11108,11108,923,0,oudsher,2001,Limburg
Horst aan de Maas,http://www.gemeentegeschiedenis.nl/gemeentenaam/Horst_aan_de_Maas,http://www.gemeentegeschiedenis.nl/amco/11108,11108,1507,6544233,2001,heden,Limburg
Houthem,http://www.gemeentegeschiedenis.nl/gemeentenaam/Houthem,http://www.gemeentegeschiedenis.nl/amco/11111,11111,1086,0,oudsher,1940,Limburg
Hulsberg,http://www.gemeentegeschiedenis.nl/gemeentenaam/Hulsberg,http://www.gemeentegeschiedenis.nl/amco/11216,11216,924,0,oudsher,1982,Limburg
Hunsel,http://www.gemeentegeschiedenis.nl/gemeentenaam/Hunsel,http://www.gemeentegeschiedenis.nl/amco/10784,10784,925,0,oudsher,2007,Limburg
Itteren,http://www.gemeentegeschiedenis.nl/gemeentenaam/Itteren,http://www.gemeentegeschiedenis.nl/amco/10458,10458,926,0,oudsher,1970,Limburg
Ittervoort,http://www.gemeentegeschiedenis.nl/gemeentenaam/Ittervoort,http://www.gemeentegeschiedenis.nl/amco/10190,10190,1090,0,oudsher,1942,Limburg
Jabeek,http://www.gemeentegeschiedenis.nl/gemeentenaam/Jabeek,http://www.gemeentegeschiedenis.nl/amco/10256,10256,927,0,oudsher,1982,Limburg
Kerkrade,http://www.gemeentegeschiedenis.nl/gemeentenaam/Kerkrade,http://www.gemeentegeschiedenis.nl/amco/10313,10313,928,2752922,oudsher,heden,Limburg
Kessel [Li],http://www.gemeentegeschiedenis.nl/gemeentenaam/Kessel_Li,http://www.gemeentegeschiedenis.nl/amco/10890,10890,929,0,oudsher,2010,Limburg
Klimmen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Klimmen,http://www.gemeentegeschiedenis.nl/amco/10977,10977,930,0,oudsher,1982,Limburg
Landgraaf,http://www.gemeentegeschiedenis.nl/gemeentenaam/Landgraaf,http://www.gemeentegeschiedenis.nl/amco/11335,11335,882,6544258,1982,heden,Limburg
Leudal,http://www.gemeentegeschiedenis.nl/gemeentenaam/Leudal,http://www.gemeentegeschiedenis.nl/amco/10840,10840,1640,6544226,2007,heden,Limburg
Limbricht,http://www.gemeentegeschiedenis.nl/gemeentenaam/Limbricht,http://www.gemeentegeschiedenis.nl/amco/11124,11124,931,0,oudsher,1982,Limburg
Linne,http://www.gemeentegeschiedenis.nl/gemeentenaam/Linne,http://www.gemeentegeschiedenis.nl/amco/10990,10990,932,0,oudsher,1991,Limburg
Maasbracht,http://www.gemeentegeschiedenis.nl/gemeentenaam/Maasbracht,http://www.gemeentegeschiedenis.nl/amco/10964,10964,933,0,oudsher,2007,Limburg
Maasbree,http://www.gemeentegeschiedenis.nl/gemeentenaam/Maasbree,http://www.gemeentegeschiedenis.nl/amco/11352,11352,934,0,1818,2010,Limburg
Maasgouw,http://www.gemeentegeschiedenis.nl/gemeentenaam/Maasgouw,http://www.gemeentegeschiedenis.nl/amco/10964,10964,1641,6544244,2007,heden,Limburg
Maasniel,http://www.gemeentegeschiedenis.nl/gemeentenaam/Maasniel,http://www.gemeentegeschiedenis.nl/amco/11261,11261,1110,0,oudsher,1959,Limburg
Maastricht,http://www.gemeentegeschiedenis.nl/gemeentenaam/Maastricht,http://www.gemeentegeschiedenis.nl/amco/10182,10182,935,2751282,oudsher,heden,Limburg
Margraten,http://www.gemeentegeschiedenis.nl/gemeentenaam/Margraten,http://www.gemeentegeschiedenis.nl/amco/11243,11243,936,0,oudsher,2011,Limburg
Meerlo,http://www.gemeentegeschiedenis.nl/gemeentenaam/Meerlo,http://www.gemeentegeschiedenis.nl/amco/11416,11416,937,0,oudsher,1969,Limburg
Meerlo-Wanssum,http://www.gemeentegeschiedenis.nl/gemeentenaam/Meerlo-Wanssum,http://www.gemeentegeschiedenis.nl/amco/11416,11416,993,0,1969,2010,Limburg
Meerssen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Meerssen,http://www.gemeentegeschiedenis.nl/amco/10494,10494,938,2751036,oudsher,heden,Limburg
Meijel,http://www.gemeentegeschiedenis.nl/gemeentenaam/Meijel,http://www.gemeentegeschiedenis.nl/amco/10925,10925,941,0,oudsher,2010,Limburg
Melick en Herkenbosch,http://www.gemeentegeschiedenis.nl/gemeentenaam/Melick_en_Herkenbosch,http://www.gemeentegeschiedenis.nl/amco/10196,10196,939,0,oudsher,1993,Limburg
Merkelbeek,http://www.gemeentegeschiedenis.nl/gemeentenaam/Merkelbeek,http://www.gemeentegeschiedenis.nl/amco/10763,10763,940,0,oudsher,1982,Limburg
