naam,uri_naam,uri_amco,amco,cbs_code,geonames,startjaar,eindjaar,provincie
Aalburg,http://www.gemeentegeschiedenis.nl/gemeentenaam/Aalburg,http://www.gemeentegeschiedenis.nl/amco/11084,11084,738,2760143,1973,heden,Noord-Brabant
Aalst [NB],http://www.gemeentegeschiedenis.nl/gemeentenaam/Aalst_NB,http://www.gemeentegeschiedenis.nl/amco/11423,11423,1001,0,oudsher,1923,Noord-Brabant
Aarle-Rixtel,http://www.gemeentegeschiedenis.nl/gemeentenaam/Aarle-Rixtel,http://www.gemeentegeschiedenis.nl/amco/10757,10757,739,0,oudsher,1997,Noord-Brabant
Alem,http://www.gemeentegeschiedenis.nl/gemeentenaam/Alem,http://www.gemeentegeschiedenis.nl/amco/10745,10745,,0,oudsher,1821,Noord-Brabant
"Alem, Maren en Kessel",http://www.gemeentegeschiedenis.nl/gemeentenaam/Alem__Maren_en_Kessel,http://www.gemeentegeschiedenis.nl/amco/10495,10495,1007,0,1821,1958,Noord-Brabant
Almkerk,http://www.gemeentegeschiedenis.nl/gemeentenaam/Almkerk,http://www.gemeentegeschiedenis.nl/amco/10788,10788,740,0,oudsher,1973,Noord-Brabant
Alphen-Chaam,http://www.gemeentegeschiedenis.nl/gemeentenaam/Alphen-Chaam,http://www.gemeentegeschiedenis.nl/amco/10710,10710,1723,6544249,1997,heden,Noord-Brabant
Alphen en Riel,http://www.gemeentegeschiedenis.nl/gemeentenaam/Alphen_en_Riel,http://www.gemeentegeschiedenis.nl/amco/10710,10710,741,0,oudsher,1997,Noord-Brabant
Andel,http://www.gemeentegeschiedenis.nl/gemeentenaam/Andel,http://www.gemeentegeschiedenis.nl/amco/10871,10871,742,0,oudsher,1973,Noord-Brabant
Asten,http://www.gemeentegeschiedenis.nl/gemeentenaam/Asten,http://www.gemeentegeschiedenis.nl/amco/10478,10478,743,2759619,oudsher,heden,Noord-Brabant
Baardwijk,http://www.gemeentegeschiedenis.nl/gemeentenaam/Baardwijk,http://www.gemeentegeschiedenis.nl/amco/10006,10006,1015,0,oudsher,1922,Noord-Brabant
Baarle-Nassau,http://www.gemeentegeschiedenis.nl/gemeentenaam/Baarle-Nassau,http://www.gemeentegeschiedenis.nl/amco/10060,10060,744,2759553,oudsher,heden,Noord-Brabant
Bakel,http://www.gemeentegeschiedenis.nl/gemeentenaam/Bakel,http://www.gemeentegeschiedenis.nl/amco/10749,10749,,0,oudsher,1819,Noord-Brabant
Bakel en Milheeze,http://www.gemeentegeschiedenis.nl/gemeentenaam/Bakel_en_Milheeze,http://www.gemeentegeschiedenis.nl/amco/10749,10749,745,0,1819,1997,Noord-Brabant
Beek en Donk,http://www.gemeentegeschiedenis.nl/gemeentenaam/Beek_en_Donk,http://www.gemeentegeschiedenis.nl/amco/10173,10173,746,0,oudsher,1997,Noord-Brabant
Beek [NB],http://www.gemeentegeschiedenis.nl/gemeentenaam/Beek_NB,http://www.gemeentegeschiedenis.nl/amco/11354,11354,1247,0,1942,1951,Noord-Brabant
Beers,http://www.gemeentegeschiedenis.nl/gemeentenaam/Beers,http://www.gemeentegeschiedenis.nl/amco/11410,11410,747,0,oudsher,1994,Noord-Brabant
Bergeijk,http://www.gemeentegeschiedenis.nl/gemeentenaam/Bergeijk,http://www.gemeentegeschiedenis.nl/amco/11160,11160,1724,2759131,1998,heden,Noord-Brabant
Bergen op Zoom,http://www.gemeentegeschiedenis.nl/gemeentenaam/Bergen_op_Zoom,http://www.gemeentegeschiedenis.nl/amco/11037,11037,748,2759144,oudsher,heden,Noord-Brabant
Bergeyk,http://www.gemeentegeschiedenis.nl/gemeentenaam/Bergeyk,http://www.gemeentegeschiedenis.nl/amco/11160,11160,749,0,oudsher,1998,Noord-Brabant
Berghem,http://www.gemeentegeschiedenis.nl/gemeentenaam/Berghem,http://www.gemeentegeschiedenis.nl/amco/10733,10733,750,0,oudsher,1994,Noord-Brabant
Berkel-Enschot,http://www.gemeentegeschiedenis.nl/gemeentenaam/Berkel-Enschot,http://www.gemeentegeschiedenis.nl/amco/11132,11132,751,0,oudsher,1997,Noord-Brabant
Berlicum,http://www.gemeentegeschiedenis.nl/gemeentenaam/Berlicum,http://www.gemeentegeschiedenis.nl/amco/10362,10362,752,0,oudsher,1996,Noord-Brabant
Bernheze,http://www.gemeentegeschiedenis.nl/gemeentenaam/Bernheze,http://www.gemeentegeschiedenis.nl/amco/10149,10149,1721,6544268,1995,heden,Noord-Brabant
Besoijen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Besoijen,http://www.gemeentegeschiedenis.nl/amco/10056,10056,1020,0,oudsher,1922,Noord-Brabant
