naam,uri_naam,uri_amco,amco,cbs_code,geonames,startjaar,eindjaar,provincie
Aalsmeer,http://www.gemeentegeschiedenis.nl/gemeentenaam/Aalsmeer,http://www.gemeentegeschiedenis.nl/amco/11264,11264,358,2760133,oudsher,heden,Noord-Holland
Abbekerk,http://www.gemeentegeschiedenis.nl/gemeentenaam/Abbekerk,http://www.gemeentegeschiedenis.nl/amco/10439,10439,359,0,oudsher,1979,Noord-Holland
Akersloot,http://www.gemeentegeschiedenis.nl/gemeentenaam/Akersloot,http://www.gemeentegeschiedenis.nl/amco/10346,10346,360,0,oudsher,2002,Noord-Holland
Alkmaar,http://www.gemeentegeschiedenis.nl/gemeentenaam/Alkmaar,http://www.gemeentegeschiedenis.nl/amco/10527,10527,361,2759898,oudsher,heden,Noord-Holland
Amstelveen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Amstelveen,http://www.gemeentegeschiedenis.nl/amco/10799,10799,362,2759797,1964,heden,Noord-Holland
Amsterdam,http://www.gemeentegeschiedenis.nl/gemeentenaam/Amsterdam,http://www.gemeentegeschiedenis.nl/amco/11150,11150,363,2759793,oudsher,heden,Noord-Holland
Andijk,http://www.gemeentegeschiedenis.nl/gemeentenaam/Andijk,http://www.gemeentegeschiedenis.nl/amco/10822,10822,364,0,oudsher,2011,Noord-Holland
Ankeveen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Ankeveen,http://www.gemeentegeschiedenis.nl/amco/10936,10936,1014,0,1818,1966,Noord-Holland
Anna Paulowna,http://www.gemeentegeschiedenis.nl/gemeentenaam/Anna_Paulowna,http://www.gemeentegeschiedenis.nl/amco/10344,10344,366,0,1870,heden,Noord-Holland
Assendelft,http://www.gemeentegeschiedenis.nl/gemeentenaam/Assendelft,http://www.gemeentegeschiedenis.nl/amco/11373,11373,367,0,oudsher,1974,Noord-Holland
Avenhorn,http://www.gemeentegeschiedenis.nl/gemeentenaam/Avenhorn,http://www.gemeentegeschiedenis.nl/amco/11147,11147,368,0,oudsher,1979,Noord-Holland
Bangert,http://www.gemeentegeschiedenis.nl/gemeentenaam/Bangert,http://www.gemeentegeschiedenis.nl/amco/10642,10642,1246,0,1979,1980,Noord-Holland
Barsingerhorn,http://www.gemeentegeschiedenis.nl/gemeentenaam/Barsingerhorn,http://www.gemeentegeschiedenis.nl/amco/10973,10973,369,0,oudsher,1990,Noord-Holland
Beemster,http://www.gemeentegeschiedenis.nl/gemeentenaam/Beemster,http://www.gemeentegeschiedenis.nl/amco/10816,10816,370,2759320,oudsher,heden,Noord-Holland
Beets,http://www.gemeentegeschiedenis.nl/gemeentenaam/Beets,http://www.gemeentegeschiedenis.nl/amco/10536,10536,371,0,oudsher,1970,Noord-Holland
Bennebroek,http://www.gemeentegeschiedenis.nl/gemeentenaam/Bennebroek,http://www.gemeentegeschiedenis.nl/amco/10734,10734,372,0,1817,2009,Noord-Holland
Bergen [NH],http://www.gemeentegeschiedenis.nl/gemeentenaam/Bergen_NH,http://www.gemeentegeschiedenis.nl/amco/11424,11424,373,2759151,oudsher,heden,Noord-Holland
Berkenrode,http://www.gemeentegeschiedenis.nl/gemeentenaam/Berkenrode,http://www.gemeentegeschiedenis.nl/amco/10223,10223,1306,0,1817,1857,Noord-Holland
Berkhout,http://www.gemeentegeschiedenis.nl/gemeentenaam/Berkhout,http://www.gemeentegeschiedenis.nl/amco/10354,10354,374,0,oudsher,1979,Noord-Holland
Beverwijk,http://www.gemeentegeschiedenis.nl/gemeentenaam/Beverwijk,http://www.gemeentegeschiedenis.nl/amco/10272,10272,375,2758997,oudsher,heden,Noord-Holland
Bijlmermeer,http://www.gemeentegeschiedenis.nl/gemeentenaam/Bijlmermeer,http://www.gemeentegeschiedenis.nl/amco/11272,11272,1309,0,1817,1848,Noord-Holland
Blaricum,http://www.gemeentegeschiedenis.nl/gemeentenaam/Blaricum,http://www.gemeentegeschiedenis.nl/amco/10493,10493,376,2758867,1817,heden,Noord-Holland
Bloemendaal,http://www.gemeentegeschiedenis.nl/gemeentenaam/Bloemendaal,http://www.gemeentegeschiedenis.nl/amco/10850,10850,377,2758802,oudsher,heden,Noord-Holland
Blokker,http://www.gemeentegeschiedenis.nl/gemeentenaam/Blokker,http://www.gemeentegeschiedenis.nl/amco/10804,10804,378,0,oudsher,1979,Noord-Holland
Bovenkarspel,http://www.gemeentegeschiedenis.nl/gemeentenaam/Bovenkarspel,http://www.gemeentegeschiedenis.nl/amco/10945,10945,379,0,oudsher,1979,Noord-Holland
Broek in Waterland,http://www.gemeentegeschiedenis.nl/gemeentenaam/Broek_in_Waterland,http://www.gemeentegeschiedenis.nl/amco/10289,10289,380,0,oudsher,1991,Noord-Holland
Broek op Langendijk,http://www.gemeentegeschiedenis.nl/gemeentenaam/Broek_op_Langendijk,http://www.gemeentegeschiedenis.nl/amco/10955,10955,1031,0,oudsher,1941,Noord-Holland
Buiksloot,http://www.gemeentegeschiedenis.nl/gemeentenaam/Buiksloot,http://www.gemeentegeschiedenis.nl/amco/10961,10961,1034,0,oudsher,1921,Noord-Holland
Bussum,http://www.gemeentegeschiedenis.nl/gemeentenaam/Bussum,http://www.gemeentegeschiedenis.nl/amco/10281,10281,381,2758063,1817,heden,Noord-Holland
Callantsoog,http://www.gemeentegeschiedenis.nl/gemeentenaam/Callantsoog,http://www.gemeentegeschiedenis.nl/amco/10559,10559,382,0,1817,1990,Noord-Holland
Castricum,http://www.gemeentegeschiedenis.nl/gemeentenaam/Castricum,http://www.gemeentegeschiedenis.nl/amco/11287,11287,383,2757990,oudsher,heden,Noord-Holland
Diemen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Diemen,http://www.gemeentegeschiedenis.nl/amco/11039,11039,384,2756887,oudsher,heden,Noord-Holland
Drechterland,http://www.gemeentegeschiedenis.nl/gemeentenaam/Drechterland,http://www.gemeentegeschiedenis.nl/amco/10642,10642,498,6544254,1980,heden,Noord-Holland
Durgerdam,http://www.gemeentegeschiedenis.nl/gemeentenaam/Durgerdam,http://www.gemeentegeschiedenis.nl/amco/10947,10947,,0,1817,1818,Noord-Holland
Edam,http://www.gemeentegeschiedenis.nl/gemeentenaam/Edam,http://www.gemeentegeschiedenis.nl/amco/10884,10884,1315,0,oudsher,1975,Noord-Holland
Edam-Volendam,http://www.gemeentegeschiedenis.nl/gemeentenaam/Edam-Volendam,http://www.gemeentegeschiedenis.nl/amco/10884,10884,385,2756430,1975,heden,Noord-Holland
Egmond,http://www.gemeentegeschiedenis.nl/gemeentenaam/Egmond,http://www.gemeentegeschiedenis.nl/amco/10421,10421,357,0,1978,2001,Noord-Holland
Egmond aan Zee,http://www.gemeentegeschiedenis.nl/gemeentenaam/Egmond_aan_Zee,http://www.gemeentegeschiedenis.nl/amco/10421,10421,386,0,oudsher,1978,Noord-Holland
Egmond-Binnen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Egmond-Binnen,http://www.gemeentegeschiedenis.nl/amco/10989,10989,387,0,oudsher,1978,Noord-Holland
Enkhuizen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Enkhuizen,http://www.gemeentegeschiedenis.nl/amco/10729,10729,388,2756076,oudsher,heden,Noord-Holland
Etersheim,http://www.gemeentegeschiedenis.nl/gemeentenaam/Etersheim,http://www.gemeentegeschiedenis.nl/amco/11158,11158,1316,0,1817,1848,Noord-Holland
Graft,http://www.gemeentegeschiedenis.nl/gemeentenaam/Graft,http://www.gemeentegeschiedenis.nl/amco/10484,10484,389,0,oudsher,1970,Noord-Holland
Graft-De Rijp,http://www.gemeentegeschiedenis.nl/gemeentenaam/Graft-De_Rijp,http://www.gemeentegeschiedenis.nl/amco/11417,11417,365,2755374,1970,heden,Noord-Holland
's-Graveland,http://www.gemeentegeschiedenis.nl/gemeentenaam/s-Graveland,http://www.gemeentegeschiedenis.nl/amco/10534,10534,390,0,oudsher,2002,Noord-Holland
Groet,http://www.gemeentegeschiedenis.nl/gemeentenaam/Groet,http://www.gemeentegeschiedenis.nl/amco/10200,10200,1323,0,1817,1834,Noord-Holland
Grootebroek,http://www.gemeentegeschiedenis.nl/gemeentenaam/Grootebroek,http://www.gemeentegeschiedenis.nl/amco/11337,11337,391,0,oudsher,1979,Noord-Holland
Grosthuizen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Grosthuizen,http://www.gemeentegeschiedenis.nl/amco/11271,11271,1324,0,1817,1854,Noord-Holland
Haarlem,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem,http://www.gemeentegeschiedenis.nl/amco/10357,10357,392,2755002,oudsher,heden,Noord-Holland
Haarlemmerliede,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlemmerliede,http://www.gemeentegeschiedenis.nl/amco/10041,10041,1325,0,1817,1857,Noord-Holland
Haarlemmerliede en Spaarnwoude,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlemmerliede_en_Spaarnwoude,http://www.gemeentegeschiedenis.nl/amco/10508,10508,393,2755000,1857,heden,Noord-Holland
Haarlemmermeer,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlemmermeer,http://www.gemeentegeschiedenis.nl/amco/11387,11387,394,2754999,1855,heden,Noord-Holland
Harenkarspel,http://www.gemeentegeschiedenis.nl/gemeentenaam/Harenkarspel,http://www.gemeentegeschiedenis.nl/amco/10963,10963,395,2754836,oudsher,heden,Noord-Holland
Heemskerk,http://www.gemeentegeschiedenis.nl/gemeentenaam/Heemskerk,http://www.gemeentegeschiedenis.nl/amco/10679,10679,396,2754696,oudsher,heden,Noord-Holland
Heemstede,http://www.gemeentegeschiedenis.nl/gemeentenaam/Heemstede,http://www.gemeentegeschiedenis.nl/amco/11288,11288,397,2754691,oudsher,heden,Noord-Holland
Heerhugowaard,http://www.gemeentegeschiedenis.nl/gemeentenaam/Heerhugowaard,http://www.gemeentegeschiedenis.nl/amco/10752,10752,398,2754658,oudsher,heden,Noord-Holland
Heiloo,http://www.gemeentegeschiedenis.nl/gemeentenaam/Heiloo,http://www.gemeentegeschiedenis.nl/amco/10793,10793,399,2754515,oudsher,heden,Noord-Holland
Den Helder,http://www.gemeentegeschiedenis.nl/gemeentenaam/Den_Helder,http://www.gemeentegeschiedenis.nl/amco/10285,10285,400,2757219,oudsher,heden,Noord-Holland
Hensbroek,http://www.gemeentegeschiedenis.nl/gemeentenaam/Hensbroek,http://www.gemeentegeschiedenis.nl/amco/10181,10181,401,0,1817,1979,Noord-Holland
Hilversum,http://www.gemeentegeschiedenis.nl/gemeentenaam/Hilversum,http://www.gemeentegeschiedenis.nl/amco/11285,11285,402,2754063,oudsher,heden,Noord-Holland
Holysloot,http://www.gemeentegeschiedenis.nl/gemeentenaam/Holysloot,http://www.gemeentegeschiedenis.nl/amco/11234,11234,,0,1817,1818,Noord-Holland
Hoogkarspel,http://www.gemeentegeschiedenis.nl/gemeentenaam/Hoogkarspel,http://www.gemeentegeschiedenis.nl/amco/10642,10642,403,0,oudsher,1979,Noord-Holland
Hoogwoud,http://www.gemeentegeschiedenis.nl/gemeentenaam/Hoogwoud,http://www.gemeentegeschiedenis.nl/amco/11029,11029,404,0,oudsher,1979,Noord-Holland
Hoorn,http://www.gemeentegeschiedenis.nl/gemeentenaam/Hoorn,http://www.gemeentegeschiedenis.nl/amco/11392,11392,405,2753635,oudsher,heden,Noord-Holland
Houtrijk en Polanen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Houtrijk_en_Polanen,http://www.gemeentegeschiedenis.nl/amco/11252,11252,1087,0,1817,1863,Noord-Holland
Huizen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Huizen,http://www.gemeentegeschiedenis.nl/amco/11170,11170,406,2753467,oudsher,heden,Noord-Holland
