naam,uri_naam,uri_amco,amco,cbs_code,geonames,startjaar,eindjaar,provincie
Almelo [1],http://www.gemeentegeschiedenis.nl/gemeentenaam/Almelo_1,http://www.gemeentegeschiedenis.nl/amco/11053,11053,,0,oudsher,1818,Overijssel
Almelo [2],http://www.gemeentegeschiedenis.nl/gemeentenaam/Almelo_2,http://www.gemeentegeschiedenis.nl/amco/11053,11053,141,2759886,1914,heden,Overijssel
Ambt Almelo,http://www.gemeentegeschiedenis.nl/gemeentenaam/Ambt_Almelo,http://www.gemeentegeschiedenis.nl/amco/11065,11065,1009,0,1818,1914,Overijssel
Ambt Delden,http://www.gemeentegeschiedenis.nl/gemeentenaam/Ambt_Delden,http://www.gemeentegeschiedenis.nl/amco/11400,11400,142,0,1818,2001,Overijssel
Ambt Hardenberg,http://www.gemeentegeschiedenis.nl/gemeentenaam/Ambt_Hardenberg,http://www.gemeentegeschiedenis.nl/amco/10174,10174,1011,0,1818,1941,Overijssel
Ambt Ommen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Ambt_Ommen,http://www.gemeentegeschiedenis.nl/amco/11069,11069,1012,0,1818,1923,Overijssel
Ambt Vollenhove,http://www.gemeentegeschiedenis.nl/gemeentenaam/Ambt_Vollenhove,http://www.gemeentegeschiedenis.nl/amco/11088,11088,1013,0,1818,1942,Overijssel
Avereest,http://www.gemeentegeschiedenis.nl/gemeentenaam/Avereest,http://www.gemeentegeschiedenis.nl/amco/11190,11190,143,0,1818,2001,Overijssel
Bathmen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Bathmen,http://www.gemeentegeschiedenis.nl/amco/11030,11030,144,0,oudsher,2005,Overijssel
Blankenham,http://www.gemeentegeschiedenis.nl/gemeentenaam/Blankenham,http://www.gemeentegeschiedenis.nl/amco/10320,10320,145,0,1818,1973,Overijssel
Blokzijl,http://www.gemeentegeschiedenis.nl/gemeentenaam/Blokzijl,http://www.gemeentegeschiedenis.nl/amco/10689,10689,146,0,oudsher,1973,Overijssel
Borne,http://www.gemeentegeschiedenis.nl/gemeentenaam/Borne,http://www.gemeentegeschiedenis.nl/amco/10326,10326,147,2758597,oudsher,heden,Overijssel
Brederwiede,http://www.gemeentegeschiedenis.nl/gemeentenaam/Brederwiede,http://www.gemeentegeschiedenis.nl/amco/11088,11088,194,0,1973,2001,Overijssel
Dalfsen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Dalfsen,http://www.gemeentegeschiedenis.nl/amco/11007,11007,148,2757849,oudsher,heden,Overijssel
Delden,http://www.gemeentegeschiedenis.nl/gemeentenaam/Delden,http://www.gemeentegeschiedenis.nl/amco/11400,11400,,0,oudsher,1818,Overijssel
Denekamp,http://www.gemeentegeschiedenis.nl/gemeentenaam/Denekamp,http://www.gemeentegeschiedenis.nl/amco/10245,10245,149,0,1818,2002,Overijssel
Deventer,http://www.gemeentegeschiedenis.nl/gemeentenaam/Deventer,http://www.gemeentegeschiedenis.nl/amco/10899,10899,150,2756986,oudsher,heden,Overijssel
Diepenheim,http://www.gemeentegeschiedenis.nl/gemeentenaam/Diepenheim,http://www.gemeentegeschiedenis.nl/amco/10311,10311,151,0,oudsher,2001,Overijssel
Diepenveen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Diepenveen,http://www.gemeentegeschiedenis.nl/amco/10933,10933,152,0,oudsher,1999,Overijssel
Dinkelland,http://www.gemeentegeschiedenis.nl/gemeentenaam/Dinkelland,http://www.gemeentegeschiedenis.nl/amco/10245,10245,1774,6544285,2002,heden,Overijssel
Enschede,http://www.gemeentegeschiedenis.nl/gemeentenaam/Enschede,http://www.gemeentegeschiedenis.nl/amco/10364,10364,153,2756070,oudsher,heden,Overijssel
Genemuiden,http://www.gemeentegeschiedenis.nl/gemeentenaam/Genemuiden,http://www.gemeentegeschiedenis.nl/amco/10746,10746,154,0,oudsher,2001,Overijssel
Giethoorn,http://www.gemeentegeschiedenis.nl/gemeentenaam/Giethoorn,http://www.gemeentegeschiedenis.nl/amco/10708,10708,155,0,oudsher,1973,Overijssel
Goor,http://www.gemeentegeschiedenis.nl/gemeentenaam/Goor,http://www.gemeentegeschiedenis.nl/amco/10076,10076,156,0,oudsher,2001,Overijssel
Grafhorst,http://www.gemeentegeschiedenis.nl/gemeentenaam/Grafhorst,http://www.gemeentegeschiedenis.nl/amco/10224,10224,1065,0,oudsher,1937,Overijssel
Gramsbergen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Gramsbergen,http://www.gemeentegeschiedenis.nl/amco/11339,11339,157,0,oudsher,2001,Overijssel
Haaksbergen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haaksbergen,http://www.gemeentegeschiedenis.nl/amco/11435,11435,158,2755031,oudsher,heden,Overijssel
