naam,uri_naam,uri_amco,amco,cbs_code,geonames,startjaar,eindjaar,provincie
Abcoude [1],http://www.gemeentegeschiedenis.nl/gemeentenaam/Abcoude_1,http://www.gemeentegeschiedenis.nl/amco/10712,10712,,0,oudsher,1818,Utrecht
Abcoude [2],http://www.gemeentegeschiedenis.nl/gemeentenaam/Abcoude_2,http://www.gemeentegeschiedenis.nl/amco/10712,10712,305,0,1941,2011,Utrecht
Abcoude-Baambrugge,http://www.gemeentegeschiedenis.nl/gemeentenaam/Abcoude-Baambrugge,http://www.gemeentegeschiedenis.nl/amco/11184,11184,1003,0,1818,1941,Utrecht
Abcoude-Proostdij,http://www.gemeentegeschiedenis.nl/gemeentenaam/Abcoude-Proostdij,http://www.gemeentegeschiedenis.nl/amco/10712,10712,1004,0,1818,1941,Utrecht
Abstede,http://www.gemeentegeschiedenis.nl/gemeentenaam/Abstede,http://www.gemeentegeschiedenis.nl/amco/11068,11068,,0,1818,1823,Utrecht
Achthoven,http://www.gemeentegeschiedenis.nl/gemeentenaam/Achthoven,http://www.gemeentegeschiedenis.nl/amco/10141,10141,1302,0,1818,1857,Utrecht
Achttienhoven [Ut],http://www.gemeentegeschiedenis.nl/gemeentenaam/Achttienhoven_Ut,http://www.gemeentegeschiedenis.nl/amco/10524,10524,1005,0,1818,1954,Utrecht
Amerongen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Amerongen,http://www.gemeentegeschiedenis.nl/amco/11372,11372,306,0,oudsher,2006,Utrecht
Amersfoort,http://www.gemeentegeschiedenis.nl/gemeentenaam/Amersfoort,http://www.gemeentegeschiedenis.nl/amco/10948,10948,307,2759820,oudsher,heden,Utrecht
Baambrugge,http://www.gemeentegeschiedenis.nl/gemeentenaam/Baambrugge,http://www.gemeentegeschiedenis.nl/amco/11184,11184,,0,oudsher,1818,Utrecht
Baarn,http://www.gemeentegeschiedenis.nl/gemeentenaam/Baarn,http://www.gemeentegeschiedenis.nl/amco/11411,11411,308,2759543,oudsher,heden,Utrecht
Benschop,http://www.gemeentegeschiedenis.nl/gemeentenaam/Benschop,http://www.gemeentegeschiedenis.nl/amco/11330,11330,309,0,oudsher,1989,Utrecht
De Bilt,http://www.gemeentegeschiedenis.nl/gemeentenaam/De_Bilt,http://www.gemeentegeschiedenis.nl/amco/10168,10168,310,2757782,oudsher,heden,Utrecht
Breukelen [1],http://www.gemeentegeschiedenis.nl/gemeentenaam/Breukelen_1,http://www.gemeentegeschiedenis.nl/amco/10807,10807,,0,oudsher,1818,Utrecht
Breukelen [2],http://www.gemeentegeschiedenis.nl/gemeentenaam/Breukelen_2,http://www.gemeentegeschiedenis.nl/amco/10807,10807,311,0,1949,heden,Utrecht
Breukelen-Nijenrode,http://www.gemeentegeschiedenis.nl/gemeentenaam/Breukelen-Nijenrode,http://www.gemeentegeschiedenis.nl/amco/10807,10807,1028,0,1818,1949,Utrecht
Breukelen-Sint Pieters,http://www.gemeentegeschiedenis.nl/gemeentenaam/Breukelen-Sint_Pieters,http://www.gemeentegeschiedenis.nl/amco/11149,11149,1029,0,1818,1949,Utrecht
Bunnik,http://www.gemeentegeschiedenis.nl/gemeentenaam/Bunnik,http://www.gemeentegeschiedenis.nl/amco/10820,10820,312,2758105,oudsher,heden,Utrecht
Bunschoten,http://www.gemeentegeschiedenis.nl/gemeentenaam/Bunschoten,http://www.gemeentegeschiedenis.nl/amco/11343,11343,313,2758103,oudsher,heden,Utrecht
Cabauw,http://www.gemeentegeschiedenis.nl/gemeentenaam/Cabauw,http://www.gemeentegeschiedenis.nl/amco/11275,11275,1310,0,1817,1857,Utrecht
Catharijne,http://www.gemeentegeschiedenis.nl/gemeentenaam/Catharijne,http://www.gemeentegeschiedenis.nl/amco/11063,11063,,0,1818,1823,Utrecht
Cothen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Cothen,http://www.gemeentegeschiedenis.nl/amco/11316,11316,314,0,oudsher,1996,Utrecht
Darthuizen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Darthuizen,http://www.gemeentegeschiedenis.nl/amco/11168,11168,1312,0,1818,1857,Utrecht
Doorn,http://www.gemeentegeschiedenis.nl/gemeentenaam/Doorn,http://www.gemeentegeschiedenis.nl/amco/10213,10213,315,0,oudsher,2006,Utrecht
Driebergen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Driebergen,http://www.gemeentegeschiedenis.nl/amco/10777,10777,1048,0,oudsher,1931,Utrecht
Driebergen-Rijsenburg,http://www.gemeentegeschiedenis.nl/gemeentenaam/Driebergen-Rijsenburg,http://www.gemeentegeschiedenis.nl/amco/10777,10777,316,0,1931,2006,Utrecht
Duist,http://www.gemeentegeschiedenis.nl/gemeentenaam/Duist,http://www.gemeentegeschiedenis.nl/amco/10070,10070,1314,0,1818,1857,Utrecht
Eemnes,http://www.gemeentegeschiedenis.nl/gemeentenaam/Eemnes,http://www.gemeentegeschiedenis.nl/amco/10248,10248,317,2756393,oudsher,heden,Utrecht
Gerverskop,http://www.gemeentegeschiedenis.nl/gemeentenaam/Gerverskop,http://www.gemeentegeschiedenis.nl/amco/11336,11336,1318,0,1818,1857,Utrecht
's-Gravesloot,http://www.gemeentegeschiedenis.nl/gemeentenaam/s-Gravesloot,http://www.gemeentegeschiedenis.nl/amco/10882,10882,1321,0,1818,1857,Utrecht
Haarzuilens,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarzuilens,http://www.gemeentegeschiedenis.nl/amco/10737,10737,1069,0,1818,1954,Utrecht
Harmelen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Harmelen,http://www.gemeentegeschiedenis.nl/amco/10183,10183,318,0,oudsher,2001,Utrecht
Hoenkoop,http://www.gemeentegeschiedenis.nl/gemeentenaam/Hoenkoop,http://www.gemeentegeschiedenis.nl/amco/10611,10611,319,0,1818,1970,Utrecht
Hoogland,http://www.gemeentegeschiedenis.nl/gemeentenaam/Hoogland,http://www.gemeentegeschiedenis.nl/amco/10545,10545,320,0,oudsher,1974,Utrecht
Houten,http://www.gemeentegeschiedenis.nl/gemeentenaam/Houten,http://www.gemeentegeschiedenis.nl/amco/10230,10230,321,2753556,oudsher,heden,Utrecht
IJsselstein,http://www.gemeentegeschiedenis.nl/gemeentenaam/IJsselstein,http://www.gemeentegeschiedenis.nl/amco/10152,10152,353,2753354,oudsher,heden,Utrecht
Indijk,http://www.gemeentegeschiedenis.nl/gemeentenaam/Indijk,http://www.gemeentegeschiedenis.nl/amco/10411,10411,,0,1817,1821,Utrecht
