naam,uri_naam,uri_amco,amco,cbs_code,geonames,startjaar,eindjaar,provincie
Aagtekerke,http://www.gemeentegeschiedenis.nl/gemeentenaam/Aagtekerke,http://www.gemeentegeschiedenis.nl/amco/10531,10531,1000,0,oudsher,1966,Zeeland
Aardenburg,http://www.gemeentegeschiedenis.nl/gemeentenaam/Aardenburg,http://www.gemeentegeschiedenis.nl/amco/11020,11020,648,0,oudsher,1995,Zeeland
Arnemuiden,http://www.gemeentegeschiedenis.nl/gemeentenaam/Arnemuiden,http://www.gemeentegeschiedenis.nl/amco/11419,11419,649,0,oudsher,1997,Zeeland
Axel,http://www.gemeentegeschiedenis.nl/gemeentenaam/Axel,http://www.gemeentegeschiedenis.nl/amco/11289,11289,650,0,oudsher,2003,Zeeland
Baarland,http://www.gemeentegeschiedenis.nl/gemeentenaam/Baarland,http://www.gemeentegeschiedenis.nl/amco/10634,10634,651,0,oudsher,1970,Zeeland
Bath,http://www.gemeentegeschiedenis.nl/gemeentenaam/Bath,http://www.gemeentegeschiedenis.nl/amco/10623,10623,1018,0,1816,1878,Zeeland
Biervliet,http://www.gemeentegeschiedenis.nl/gemeentenaam/Biervliet,http://www.gemeentegeschiedenis.nl/amco/10257,10257,652,0,oudsher,1970,Zeeland
Biggekerke,http://www.gemeentegeschiedenis.nl/gemeentenaam/Biggekerke,http://www.gemeentegeschiedenis.nl/amco/11364,11364,1022,0,oudsher,1966,Zeeland
Bommenede,http://www.gemeentegeschiedenis.nl/gemeentenaam/Bommenede,http://www.gemeentegeschiedenis.nl/amco/10785,10785,1025,0,oudsher,1866,Zeeland
Borsele,http://www.gemeentegeschiedenis.nl/gemeentenaam/Borsele,http://www.gemeentegeschiedenis.nl/amco/10043,10043,654,2758588,1970,heden,Zeeland
Borssele,http://www.gemeentegeschiedenis.nl/gemeentenaam/Borssele,http://www.gemeentegeschiedenis.nl/amco/10043,10043,1254,0,oudsher,1970,Zeeland
Boschkapelle,http://www.gemeentegeschiedenis.nl/gemeentenaam/Boschkapelle,http://www.gemeentegeschiedenis.nl/amco/10605,10605,1027,0,oudsher,1936,Zeeland
Breskens,http://www.gemeentegeschiedenis.nl/gemeentenaam/Breskens,http://www.gemeentegeschiedenis.nl/amco/10233,10233,655,0,oudsher,1970,Zeeland
Brigdamme,http://www.gemeentegeschiedenis.nl/gemeentenaam/Brigdamme,http://www.gemeentegeschiedenis.nl/amco/10727,10727,,0,oudsher,1816,Zeeland
Brijdorpe,http://www.gemeentegeschiedenis.nl/gemeentenaam/Brijdorpe,http://www.gemeentegeschiedenis.nl/amco/10678,10678,,0,oudsher,1813,Zeeland
Brouwershaven,http://www.gemeentegeschiedenis.nl/gemeentenaam/Brouwershaven,http://www.gemeentegeschiedenis.nl/amco/10030,10030,656,0,oudsher,1997,Zeeland
Bruinisse,http://www.gemeentegeschiedenis.nl/gemeentenaam/Bruinisse,http://www.gemeentegeschiedenis.nl/amco/11291,11291,657,0,oudsher,1997,Zeeland
Burgh,http://www.gemeentegeschiedenis.nl/gemeentenaam/Burgh,http://www.gemeentegeschiedenis.nl/amco/11000,11000,1035,0,oudsher,1961,Zeeland
Buttinge en Zandvoort,http://www.gemeentegeschiedenis.nl/gemeentenaam/Buttinge_en_Zandvoort,http://www.gemeentegeschiedenis.nl/amco/11443,11443,,0,oudsher,1816,Zeeland
Cadzand,http://www.gemeentegeschiedenis.nl/gemeentenaam/Cadzand,http://www.gemeentegeschiedenis.nl/amco/11002,11002,658,0,oudsher,1970,Zeeland
Capelle en Botland,http://www.gemeentegeschiedenis.nl/gemeentenaam/Capelle_en_Botland,http://www.gemeentegeschiedenis.nl/amco/10207,10207,,0,oudsher,1813,Zeeland
Clinge,http://www.gemeentegeschiedenis.nl/gemeentenaam/Clinge,http://www.gemeentegeschiedenis.nl/amco/10965,10965,659,0,oudsher,1970,Zeeland
Colijnsplaat,http://www.gemeentegeschiedenis.nl/gemeentenaam/Colijnsplaat,http://www.gemeentegeschiedenis.nl/amco/10121,10121,1038,0,oudsher,1941,Zeeland
Domburg,http://www.gemeentegeschiedenis.nl/gemeentenaam/Domburg,http://www.gemeentegeschiedenis.nl/amco/10236,10236,660,0,1816,1997,Zeeland
Domburg-Binnen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Domburg-Binnen,http://www.gemeentegeschiedenis.nl/amco/10236,10236,,0,oudsher,1816,Zeeland
Domburg-Buiten,http://www.gemeentegeschiedenis.nl/gemeentenaam/Domburg-Buiten,http://www.gemeentegeschiedenis.nl/amco/10178,10178,,0,oudsher,1816,Zeeland
Dreischor,http://www.gemeentegeschiedenis.nl/gemeentenaam/Dreischor,http://www.gemeentegeschiedenis.nl/amco/10885,10885,1047,0,oudsher,1961,Zeeland
Driewegen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Driewegen,http://www.gemeentegeschiedenis.nl/amco/11115,11115,661,0,oudsher,1970,Zeeland
Duiveland,http://www.gemeentegeschiedenis.nl/gemeentenaam/Duiveland,http://www.gemeentegeschiedenis.nl/amco/11237,11237,662,0,1961,1997,Zeeland
Duivendijke,http://www.gemeentegeschiedenis.nl/gemeentenaam/Duivendijke,http://www.gemeentegeschiedenis.nl/amco/10335,10335,1050,0,oudsher,1961,Zeeland
Eede,http://www.gemeentegeschiedenis.nl/gemeentenaam/Eede,http://www.gemeentegeschiedenis.nl/amco/11128,11128,1052,0,oudsher,1941,Zeeland
Elkerzee,http://www.gemeentegeschiedenis.nl/gemeentenaam/Elkerzee,http://www.gemeentegeschiedenis.nl/amco/10184,10184,1053,0,oudsher,1961,Zeeland
Ellemeet,http://www.gemeentegeschiedenis.nl/gemeentenaam/Ellemeet,http://www.gemeentegeschiedenis.nl/amco/10102,10102,1054,0,oudsher,1961,Zeeland
Ellewoutsdijk,http://www.gemeentegeschiedenis.nl/gemeentenaam/Ellewoutsdijk,http://www.gemeentegeschiedenis.nl/amco/11300,11300,663,0,oudsher,1970,Zeeland
Eversdijk,http://www.gemeentegeschiedenis.nl/gemeentenaam/Eversdijk,http://www.gemeentegeschiedenis.nl/amco/10920,10920,,0,oudsher,1816,Zeeland
Fort Bath,http://www.gemeentegeschiedenis.nl/gemeentenaam/Fort_Bath,http://www.gemeentegeschiedenis.nl/amco/11114,11114,,0,oudsher,1816,Zeeland
Gapinge,http://www.gemeentegeschiedenis.nl/gemeentenaam/Gapinge,http://www.gemeentegeschiedenis.nl/amco/10306,10306,1317,0,oudsher,1857,Zeeland
Goes,http://www.gemeentegeschiedenis.nl/gemeentenaam/Goes,http://www.gemeentegeschiedenis.nl/amco/10674,10674,664,2755475,oudsher,heden,Zeeland
Graauw en Langendam,http://www.gemeentegeschiedenis.nl/gemeentenaam/Graauw_en_Langendam,http://www.gemeentegeschiedenis.nl/amco/10312,10312,665,0,oudsher,1970,Zeeland
's-Gravenhoek,http://www.gemeentegeschiedenis.nl/gemeentenaam/s-Gravenhoek,http://www.gemeentegeschiedenis.nl/amco/11420,11420,,0,oudsher,1816,Zeeland
's-Gravenpolder,http://www.gemeentegeschiedenis.nl/gemeentenaam/s-Gravenpolder,http://www.gemeentegeschiedenis.nl/amco/11059,11059,666,0,oudsher,1970,Zeeland
Grijpskerke,http://www.gemeentegeschiedenis.nl/gemeentenaam/Grijpskerke,http://www.gemeentegeschiedenis.nl/amco/10801,10801,1067,0,1816,1966,Zeeland
Grijpskerke en Poppendamme,http://www.gemeentegeschiedenis.nl/gemeentenaam/Grijpskerke_en_Poppendamme,http://www.gemeentegeschiedenis.nl/amco/10801,10801,,0,oudsher,1816,Zeeland
Groede,http://www.gemeentegeschiedenis.nl/gemeentenaam/Groede,http://www.gemeentegeschiedenis.nl/amco/11312,11312,667,0,oudsher,1970,Zeeland
Haamstede,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haamstede,http://www.gemeentegeschiedenis.nl/amco/10701,10701,1068,0,oudsher,1961,Zeeland
's-Heer Abtskerke,http://www.gemeentegeschiedenis.nl/gemeentenaam/s-Heer_Abtskerke,http://www.gemeentegeschiedenis.nl/amco/10337,10337,669,0,oudsher,1970,Zeeland
's-Heer Arendskerke,http://www.gemeentegeschiedenis.nl/gemeentenaam/s-Heer_Arendskerke,http://www.gemeentegeschiedenis.nl/amco/10875,10875,670,0,oudsher,1970,Zeeland
's-Heerenhoek,http://www.gemeentegeschiedenis.nl/gemeentenaam/s-Heerenhoek,http://www.gemeentegeschiedenis.nl/amco/10721,10721,671,0,oudsher,1970,Zeeland
's-Heer Hendrikskinderen,http://www.gemeentegeschiedenis.nl/gemeentenaam/s-Heer_Hendrikskinderen,http://www.gemeentegeschiedenis.nl/amco/10117,10117,1326,0,oudsher,1857,Zeeland
Heille,http://www.gemeentegeschiedenis.nl/gemeentenaam/Heille,http://www.gemeentegeschiedenis.nl/amco/11309,11309,1073,0,oudsher,1880,Zeeland
Heinkenszand,http://www.gemeentegeschiedenis.nl/gemeentenaam/Heinkenszand,http://www.gemeentegeschiedenis.nl/amco/10413,10413,672,0,oudsher,1970,Zeeland
Hengstdijk,http://www.gemeentegeschiedenis.nl/gemeentenaam/Hengstdijk,http://www.gemeentegeschiedenis.nl/amco/10636,10636,1077,0,oudsher,1936,Zeeland
Hoedekenskerke,http://www.gemeentegeschiedenis.nl/gemeentenaam/Hoedekenskerke,http://www.gemeentegeschiedenis.nl/amco/11072,11072,673,0,oudsher,1970,Zeeland
Hoek,http://www.gemeentegeschiedenis.nl/gemeentenaam/Hoek,http://www.gemeentegeschiedenis.nl/amco/10038,10038,674,0,oudsher,1970,Zeeland
Hontenisse,http://www.gemeentegeschiedenis.nl/gemeentenaam/Hontenisse,http://www.gemeentegeschiedenis.nl/amco/11123,11123,675,0,oudsher,2003,Zeeland
Hoofdplaat,http://www.gemeentegeschiedenis.nl/gemeentenaam/Hoofdplaat,http://www.gemeentegeschiedenis.nl/amco/10147,10147,676,0,oudsher,1970,Zeeland
Hoogelande,http://www.gemeentegeschiedenis.nl/gemeentenaam/Hoogelande,http://www.gemeentegeschiedenis.nl/amco/11194,11194,,0,oudsher,1816,Zeeland
Hulst,http://www.gemeentegeschiedenis.nl/gemeentenaam/Hulst,http://www.gemeentegeschiedenis.nl/amco/11408,11408,677,2753437,oudsher,heden,Zeeland
IJzendijke,http://www.gemeentegeschiedenis.nl/gemeentenaam/IJzendijke,http://www.gemeentegeschiedenis.nl/amco/10688,10688,730,0,oudsher,1970,Zeeland
Kampensnieuwland,http://www.gemeentegeschiedenis.nl/gemeentenaam/Kampensnieuwland,http://www.gemeentegeschiedenis.nl/amco/11197,11197,,0,oudsher,1816,Zeeland
Kapelle,http://www.gemeentegeschiedenis.nl/gemeentenaam/Kapelle,http://www.gemeentegeschiedenis.nl/amco/11223,11223,678,2753069,oudsher,heden,Zeeland
Kats,http://www.gemeentegeschiedenis.nl/gemeentenaam/Kats,http://www.gemeentegeschiedenis.nl/amco/10919,10919,1094,0,oudsher,1941,Zeeland
Kattendijke,http://www.gemeentegeschiedenis.nl/gemeentenaam/Kattendijke,http://www.gemeentegeschiedenis.nl/amco/11218,11218,679,0,oudsher,1970,Zeeland
Kerkwerve,http://www.gemeentegeschiedenis.nl/gemeentenaam/Kerkwerve,http://www.gemeentegeschiedenis.nl/amco/10837,10837,1095,0,oudsher,1961,Zeeland
Klaaskinderenkerke,http://www.gemeentegeschiedenis.nl/gemeentenaam/Klaaskinderenkerke,http://www.gemeentegeschiedenis.nl/amco/11449,11449,,0,oudsher,1813,Zeeland
Kleverskerke,http://www.gemeentegeschiedenis.nl/gemeentenaam/Kleverskerke,http://www.gemeentegeschiedenis.nl/amco/10519,10519,1339,0,oudsher,1857,Zeeland
Kloetinge,http://www.gemeentegeschiedenis.nl/gemeentenaam/Kloetinge,http://www.gemeentegeschiedenis.nl/amco/10155,10155,680,0,oudsher,1970,Zeeland
Koewacht,http://www.gemeentegeschiedenis.nl/gemeentenaam/Koewacht,http://www.gemeentegeschiedenis.nl/amco/10892,10892,681,0,oudsher,1970,Zeeland
Kortgene,http://www.gemeentegeschiedenis.nl/gemeentenaam/Kortgene,http://www.gemeentegeschiedenis.nl/amco/10250,10250,682,0,oudsher,1995,Zeeland
Koudekerke [Walcheren],http://www.gemeentegeschiedenis.nl/gemeentenaam/Koudekerke_Walcheren,http://www.gemeentegeschiedenis.nl/amco/11428,11428,1098,0,oudsher,1966,Zeeland
Krabbendijke,http://www.gemeentegeschiedenis.nl/gemeentenaam/Krabbendijke,http://www.gemeentegeschiedenis.nl/amco/11038,11038,684,0,oudsher,1970,Zeeland
Kruiningen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Kruiningen,http://www.gemeentegeschiedenis.nl/amco/10077,10077,685,0,oudsher,1970,Zeeland
Looperskapelle,http://www.gemeentegeschiedenis.nl/gemeentenaam/Looperskapelle,http://www.gemeentegeschiedenis.nl/amco/10317,10317,,0,oudsher,1813,Zeeland
Maire,http://www.gemeentegeschiedenis.nl/gemeentenaam/Maire,http://www.gemeentegeschiedenis.nl/amco/10480,10480,,0,oudsher,1816,Zeeland
Mariekerke,http://www.gemeentegeschiedenis.nl/gemeentenaam/Mariekerke,http://www.gemeentegeschiedenis.nl/amco/11221,11221,686,0,1966,1997,Zeeland
Meliskerke,http://www.gemeentegeschiedenis.nl/gemeentenaam/Meliskerke,http://www.gemeentegeschiedenis.nl/amco/11221,11221,1112,0,oudsher,1966,Zeeland
Middelburg [Ze],http://www.gemeentegeschiedenis.nl/gemeentenaam/Middelburg_Ze,http://www.gemeentegeschiedenis.nl/amco/10122,10122,687,2750894,oudsher,heden,Zeeland
Middenschouwen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Middenschouwen,http://www.gemeentegeschiedenis.nl/amco/10837,10837,688,0,1961,1997,Zeeland
