naam,uri_naam,uri_amco,amco,cbs_code,geonames,startjaar,eindjaar,provincie
Ter Aar,http://www.gemeentegeschiedenis.nl/gemeentenaam/Ter_Aar,http://www.gemeentegeschiedenis.nl/amco/11104,11104,480,0,oudsher,2007,Zuid-Holland
Aarlanderveen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Aarlanderveen,http://www.gemeentegeschiedenis.nl/amco/11242,11242,1002,0,oudsher,1918,Zuid-Holland
Abbenbroek,http://www.gemeentegeschiedenis.nl/gemeentenaam/Abbenbroek,http://www.gemeentegeschiedenis.nl/amco/11026,11026,481,0,oudsher,1980,Zuid-Holland
Abtsregt,http://www.gemeentegeschiedenis.nl/gemeentenaam/Abtsregt,http://www.gemeentegeschiedenis.nl/amco/10946,10946,1301,0,1817,1855,Zuid-Holland
Achttienhoven [ZH],http://www.gemeentegeschiedenis.nl/gemeentenaam/Achttienhoven_ZH,http://www.gemeentegeschiedenis.nl/amco/10972,10972,1303,0,1817,1855,Zuid-Holland
Ackersdijk en Vrouwenregt,http://www.gemeentegeschiedenis.nl/gemeentenaam/Ackersdijk_en_Vrouwenregt,http://www.gemeentegeschiedenis.nl/amco/10013,10013,1304,0,1817,1855,Zuid-Holland
Alblasserdam,http://www.gemeentegeschiedenis.nl/gemeentenaam/Alblasserdam,http://www.gemeentegeschiedenis.nl/amco/11327,11327,482,2759914,oudsher,heden,Zuid-Holland
Albrandswaard [1],http://www.gemeentegeschiedenis.nl/gemeentenaam/Albrandswaard_1,http://www.gemeentegeschiedenis.nl/amco/10124,10124,477,0,1817,1842,Zuid-Holland
Albrandswaard [2],http://www.gemeentegeschiedenis.nl/gemeentenaam/Albrandswaard_2,http://www.gemeentegeschiedenis.nl/amco/10124,10124,613,6544242,1985,heden,Zuid-Holland
Alkemade,http://www.gemeentegeschiedenis.nl/gemeentenaam/Alkemade,http://www.gemeentegeschiedenis.nl/amco/10349,10349,483,0,oudsher,2009,Zuid-Holland
Alphen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Alphen,http://www.gemeentegeschiedenis.nl/amco/10517,10517,1008,0,oudsher,1918,Zuid-Holland
Alphen aan den Rijn,http://www.gemeentegeschiedenis.nl/gemeentenaam/Alphen_aan_den_Rijn,http://www.gemeentegeschiedenis.nl/amco/10517,10517,484,2759874,1918,heden,Zuid-Holland
Ameide,http://www.gemeentegeschiedenis.nl/gemeentenaam/Ameide,http://www.gemeentegeschiedenis.nl/amco/11349,11349,485,0,oudsher,1986,Zuid-Holland
Ammerstol,http://www.gemeentegeschiedenis.nl/gemeentenaam/Ammerstol,http://www.gemeentegeschiedenis.nl/amco/10863,10863,486,0,1817,1985,Zuid-Holland
Arkel,http://www.gemeentegeschiedenis.nl/gemeentenaam/Arkel,http://www.gemeentegeschiedenis.nl/amco/10079,10079,487,0,1817,1986,Zuid-Holland
Asperen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Asperen,http://www.gemeentegeschiedenis.nl/amco/11369,11369,488,0,oudsher,1986,Zuid-Holland
Barendrecht [1],http://www.gemeentegeschiedenis.nl/gemeentenaam/Barendrecht_1,http://www.gemeentegeschiedenis.nl/amco/10943,10943,,0,oudsher,1817,Zuid-Holland
Barendrecht [2],http://www.gemeentegeschiedenis.nl/gemeentenaam/Barendrecht_2,http://www.gemeentegeschiedenis.nl/amco/10943,10943,489,2759425,1905,heden,Zuid-Holland
Barwoutswaarder,http://www.gemeentegeschiedenis.nl/gemeentenaam/Barwoutswaarder,http://www.gemeentegeschiedenis.nl/amco/10447,10447,1017,0,1817,1964,Zuid-Holland
Benthorn,http://www.gemeentegeschiedenis.nl/gemeentenaam/Benthorn,http://www.gemeentegeschiedenis.nl/amco/11267,11267,1305,0,1817,1846,Zuid-Holland
Benthuizen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Benthuizen,http://www.gemeentegeschiedenis.nl/amco/10398,10398,490,0,1817,1991,Zuid-Holland
Bergambacht,http://www.gemeentegeschiedenis.nl/gemeentenaam/Bergambacht,http://www.gemeentegeschiedenis.nl/amco/10962,10962,491,2759157,oudsher,heden,Zuid-Holland
Bergschenhoek,http://www.gemeentegeschiedenis.nl/gemeentenaam/Bergschenhoek,http://www.gemeentegeschiedenis.nl/amco/10445,10445,492,0,oudsher,2007,Zuid-Holland
Berkel en Rodenrijs,http://www.gemeentegeschiedenis.nl/gemeentenaam/Berkel_en_Rodenrijs,http://www.gemeentegeschiedenis.nl/amco/10139,10139,493,0,oudsher,2007,Zuid-Holland
Berkenwoude,http://www.gemeentegeschiedenis.nl/gemeentenaam/Berkenwoude,http://www.gemeentegeschiedenis.nl/amco/10797,10797,494,0,oudsher,1985,Zuid-Holland
Bernisse,http://www.gemeentegeschiedenis.nl/gemeentenaam/Bernisse,http://www.gemeentegeschiedenis.nl/amco/10316,10316,568,6544241,1980,heden,Zuid-Holland
Biert,http://www.gemeentegeschiedenis.nl/gemeentenaam/Biert,http://www.gemeentegeschiedenis.nl/amco/10686,10686,1307,0,1817,1855,Zuid-Holland
