gm_naam,cbscode,acode
Stad-Ommen,1192,10381
Stad-Vollenhove,1193,11183
Adorp,1,10996
Aduard,2,10999
Appingedam,3,10886
Veendam,47,11292
Baflo,4,10539
Bedum,5,10425
Beerta,6,11043
Bierum,8,11294
Ten Boer,9,10891
Delfzijl,10,10976
Sappemeer,1168,10080
Eenrum,11,10904
Ezinge,12,10136
Finsterwolde,13,10212
Groningen,14,10426
Grootegast,15,11080
Grijpskerk,16,10244
Stad-Hardenberg,1191,11169
Haren,17,11058
Schoterland,1174,10680
Kantens,20,10372
Kloosterburen,21,10628
Diever,111,10418
Leek,22,10604
Leens,23,11050
Loppersum,24,10934
Marum,25,11431
Meeden,26,10304
Middelstum,27,11199
Midwolda,28,10356
Muntendam,29,10550
Nieuwe Pekela,30,10950
Nieuweschans,31,10008
Nieuwolda,32,10126
Bolsward,64,10865
Stad-Almelo,1189,11053
Oldehove,35,10298
Oldekerk,36,11332
Oude Pekela,38,10848
Scheemda,39,10711
Slochteren,40,10747
Stedum,41,10771
Termunten,42,11023
Uithuizen,43,11137
Uithuizermeeden,44,10246
Ulrum,45,10180
Usquert,46,11035
Vlagtwedde,48,11249
Warffum,49,10498
Winschoten,52,10453
Winsum,53,11135
't Zandt,54,10956
Zuidhorn,56,10021
Achtkarspelen,59,10199
Ameland,60,11153
Baarderadeel,61,10422
Barradeel,62,10156
Wedde,1220,10247
het Bildt,63,10128
Dantumadeel,65,10650
Dokkum,66,10198
Doniawerstal,67,10086
Ferwerderadeel,68,11284
Wildervank,1225,10825
Franeker,69,11226
Franekeradeel,70,10404
Wilsum,1227,10194
Gaasterland,71,10036
Harlingen,72,10909
Haskerland,73,10022
Ooststellingwerf,85,10836
Hennaarderadeel,76,10877
Zalk en Veecaten,1232,10633
Hindeloopen,77,10672
Idaarderadeel,78,10815
Kollumerland en Nieuwkruisland,79,10984
Leeuwarden,80,11228
Leeuwarderadeel,81,10851
Lemsterland,82,10142
Menaldumadeel,83,11144
Zuidbroek (Gr.),1240,11282
Oostdongeradeel,84,11102
Nijeveen,121,10774
Opsterland,86,10005
Rauwerderhem,87,10330
Zwollerkerspel,1245,10654
Schiermonnikoog,88,10355
Sloten (F.),89,10867
Smallingerland,90,10405
Onstwedde,1250,10610
Sneek,91,11421
Terschelling,93,11210
Tietjerksteradeel,94,11241
Utingeradeel,95,10140
Norg,120,10608
Westdongeradeel,97,10129
Weststellingwerf,98,11322
Staveren,1257,10240
Dwingeloo,112,10331
Hemelumer Oldephaerd en Noordwolde,1260,10334
Wonseradeel,99,10454
Workum,100,10768
Wymbritseradeel,101,11427
IJlst,102,11062
Anloo,105,10787
Assen,106,10522
Beilen,107,10520
Borger,108,10448
Coevorden,109,10383
Dalen,110,11004
Kuinre,167,11148
Eelde,113,10622
Emmen,114,11180
Gasselte,115,11099
Gieten,116,10506
Havelte,117,10186
Hoogeveen,118,10839
Meppel,119,11204
Odoorn,122,11320
Oosterhesselen,123,10490
Peize,124,10501
Aengwirden,1006,10157
Roden,125,10699
Rolde,126,10470
Ruinen,127,10629
Ambt-Almelo,1009,11065
Ruinerwold,128,10944
Sleen,130,10489
Smilde,131,11033
Vledder,132,11120
Vries,133,10630
Ambt-Hardenberg,1011,10174
Westerbork,134,11095
Ambt-Ommen,1012,11069
Ootmarsum,176,11079
De Wijk,135,10753
Ambt-Vollenhove,1013,11088
Zuidlaren,136,10002
Zuidwolde,137,10262
Zweeloo,138,10872
Avereest,143,11190
Bellingwolde,1019,10340
Blankenham,145,10320
Blokzijl,146,10689
Borne,147,10326
Dalfsen,148,11007
Denekamp,149,10245
Diepenveen,152,10933
Genemuiden,154,10746
Giethoorn,155,10708
Gramsbergen,157,11339
Den Ham,159,10395
Hasselt,161,10115
Heino,162,10854
Hellendoorn,163,10806
Holten,165,11246
Kampen,166,10253
Losser,168,11166
Nieuwleusen,170,10384
Oldemarkt,172,10858
Oldenzaal,173,11100
Olst,174,10409
Raalte,177,10279
Rijssen,178,10358
Staphorst,180,11362
Steenwijk,181,10546
Steenwijkerwold,182,11347
Tubbergen,183,10694
Urk,184,10783
Vriezenveen,186,10643
Wanneperveen,187,10105
Grafhorst,1065,10224
Weerselo,188,10893
Wierden,189,10676
Wijhe,190,10888
IJsselmuiden,191,10641
Zwartsluis,192,10303
Zwolle,193,10093
Hoogezand,1083,10410
Hoogkerk,1084,10953
Kamperveen,1092,10443
Doornspijk,223,10069
Elburg,230,11113
Epe,232,10940
Hattem,244,10673
Ermelo,233,10732
Harderwijk,243,10786
Heerde,246,10291
Noordbroek,1126,10814
Noorddijk,1127,10979
Oldebroek,269,11106
