gm_naam,cbscode,acode
Aalsmeer,358,11264
Abbekerk,359,10439
Akersloot,360,10346
Alkmaar,361,10527
Amsterdam,363,11150
Andijk,364,10822
Assendelft,367,11373
Avenhorn,368,11147
Barsingerhorn,369,10973
Beemster,370,10816
Beets,371,10536
Bennebroek,372,10734
Bergen (NH.),373,11424
Berkhout,374,10354
Beverwijk,375,10272
Bloemendaal,377,10850
Blokker,378,10804
Bovenkarspel,379,10945
Broek in Waterland,380,10289
Broek op Langedijk,1031,10955
Buiksloot,1034,10961
Callantsoog,382,10559
Castricum,383,11287
De Rijp,440,11417
Den Helder,400,10285
Diemen,384,11039
Edam,1315,10884
Egmond aan Zee,386,10421
Egmond-Binnen,387,10989
Enkhuizen,388,10729
Graft,389,10484
Grootebroek,391,11337
Haarlem,392,10357
Haarlemmerliede en Spaarnwoude,393,10508
Haarlemmermeer,394,11387
Harenkarspel,395,10963
Heemskerk,396,10679
Heemstede,397,11288
Heerhugowaard,398,10752
Heiloo,399,10793
Hensbroek,401,10181
Hillegom,534,11236
Hoogkarspel,403,10642
Hoogwoud,404,11029
Hoorn,405,11392
Huizen,406,11170
Ilpendam,407,10809
Jisp,408,10481
Katwoude,409,11136
Koedijk,410,10510
Koog aan de Zaan,411,10776
Krommenie,413,10373
Kwadijk,414,10775
Landsmeer,415,11225
Limmen,418,11370
Marken,419,10901
Medemblik,420,11215
Middelie,421,10452
Midwoud,422,10924
Monnickendam,423,10983
Muiden,424,10958
Naarden,425,10187
Nibbixwoud,427,10091
Nieuwe-Niedorp,428,10073
Nieuwendam,1120,10177
Nieuwer-Amstel,1249,10799
Noord-Scharwoude,1124,10075
Obdam,429,11338
Oosthuizen,430,11121
Oostzaan,431,11303
Opmeer,432,10609
Opperdoes,433,10523
Oterleek,434,10133
Oude-Niedorp,436,10896
Oudendijk,435,11090
Ouder-Amstel,437,10998
Oudkarspel,1146,11051
Oudorp,438,10363
Petten,1153,11057
Purmerend,439,11066
Ransdorp,1157,10789
Schagen,441,10511
Schellinkhout,442,10772
Schermerhorn,443,10308
Schoorl,444,10627
Schoten,1173,10382
Sijbekarspel,447,11167
Sint Maarten,445,10740
Sint Pancras,446,10513
Sloten (NH.),1181,10148
Spaarndam,1185,10192
Spanbroek,1186,10063
Texel,448,10237
Twisk,449,10371
Uitgeest,450,11238
Ursem,452,10696
Velsen,453,10620
Venhuizen,454,10433
Vlieland,96,10211
Warder,455,11073
Warmenhuizen,456,10221
Watergraafsmeer,1219,11122
Weesp,457,10773
Weesperkarspel,1221,10377
Wervershoof,459,11270
Westwoud,460,11101
Westzaan,461,11381
Wieringen,462,11277
Wieringerwaard,464,11164
Wijdenes,469,10631
Wijdewormer,470,10434
Wijk aan Zee en Duin,1229,11366
Winkel,465,10923
Wognum,466,10818
Wormer,467,10648
Wormerveer,468,10361
Zaandam,471,11044
Zaandijk,472,11404
Zandvoort,473,10910
Zijpe,476,10004
Zuid- en Noord-Schermer,474,11311
Zuid-Scharwoude,1238,10159
Zwaag,475,10218
