gm_naam,cbscode,acode
Stratum,1199,10172
Broeksittard,1032,10655
Rijckholt,1165,10824
Jabeek,927,10256
Sambeek,1167,10339
Strijp,1201,10521
Tongelre,1203,11240
Schin op Geul,1171,10780
Horssen,254,10607
Strucht,1200,11034
Sint Pieter,1180,10137
Soerendonk,1183,10047
Stad-Doetinchem,1190,10603
Stiphout,1196,11386
Velp,1208,10170
Vlierden,1212,10268
Woensel,1228,10894
IJzendoorn,1231,11430
Zesgehuchten,1235,10329
Valkenburg (L.),1252,11077
Millingen,1259,10072
Boekel,755,10432
Aarle-Rixtel,739,10757
Asten,743,10478
Bakel en Milheeze,745,10749
Batenburg,204,10921
Beek en Donk,746,10173
Ambt Delden,142,11400
Beers,747,11410
Bathmen,144,11030
Berghem,750,10733
Berlicum,752,10362
Deventer,150,10899
Boxmeer,756,11227
Diepenheim,151,10311
Enschede,153,10364
Budel,759,10219
Cuijk en Sint Agatha,761,10023
Goor,156,10076
Haaksbergen,158,11435
Eindhoven,772,11298
Hengelo (O.),164,10907
Erp,775,10385
Markelo,169,11382
Maarheeze,811,11143
Geffen,780,10370
Geldrop,781,10529
Gemert,782,10277
Stad Delden,179,10913
Grave,786,10165
Haps,790,11283
Heesch,791,10149
Beuningen,209,10417
Heeze,793,10462
Helmond,794,10932
Heumen,252,10600
Aalten,197,11046
Angerlo,199,11131
Leende,805,11017
Apeldoorn,200,11075
Appeltern,201,11296
Lieshout,807,10637
Arnhem,202,10795
Barneveld,203,10906
Bemmel,206,10744
Bergh,207,10350
"Megen, Haren en Macharen",813,10988
Bergharen,208,10883
Mierlo,814,10215
Borculo,211,11307
Mill en Sint Hubert,815,10535
Brummen,213,10798
Nistelrode,819,10094
"Nuenen, Gerwen en Nederwetten",820,10761
Nuland,821,10118
Oeffelt,822,10360
Didam,218,10153
Dinxperlo,219,11154
Dodewaard,220,10647
Doesburg,221,10327
"Oploo, Sint Anthonis en Ledeacker",827,11415
Dreumel,224,11232
Oss,828,10834
Druten,225,10068
Duiven,226,11028
Echteld,227,10832
Ede,228,10743
Hoevelaken,253,11358
Ravenstein,835,10805
Eibergen,229,10436
Elst,231,11188
Ewijk,235,10471
Schaijk,843,10276
Schijndel,844,11178
Gendringen,237,10260
Gendt,238,10440
Sint-Oedenrode,846,10399
Someren,847,10203
Gorssel,239,10085
Son en Breugel,848,10549
Groenlo,240,11094
Groesbeek,241,10616
Uden,856,11141
Hengelo (Gld.),248,10359
Valkenswaard,858,11031
Herwen en Aerdt,249,10819
Veghel,860,10985
Heteren,251,10290
Huissen,255,11047
Vierlingsbeek,863,10066
Hummelo en Keppel,256,11235
Kesteren,258,10916
Waalre,866,10959
Overasselt,271,10952
Wanroij,868,10265
Laren (Gld.),259,10098
Lichtenvoorde,260,10242
Lienden,261,11093
Lochem,262,11263
Maurik,264,10300
Neede,266,10367
Ruurlo,278,10879
Zeeland,877,10759
Nijkerk,267,10446
Nijmegen,268,11209
Pannerden,272,10518
Amby,883,10922
Putten,273,11109
Amstenrade,884,10062
Renkum,274,11325
Arcen en Velden,885,10202
Rheden,275,11355
Baexem,886,11255
Beegden,887,11089
Rozendaal,277,10684
Beek (L.),888,11374
Scherpenzeel,279,11146
Beesel,889,10195
Steenderen,280,10497
Belfeld,890,10292
Tiel,281,10027
Bemelen,891,10878
Ubbergen,282,10408
Berg en Terblijt,892,10796
Valburg,283,11071
Grathem,909,11008
Bergen (L.),893,11281
Bingelrade,894,10967
Voorst,285,10912
Bocholtz,895,10986
Vorden,286,10957
Borgharen,896,11334
Born,897,10927
Broekhuizen,898,10856
Wageningen,289,11010
Brunssum,899,10533
Wamel,290,10042
Bunde,900,10831
Warnsveld,291,10838
Cadier en Keer,901,11447
Wehl,292,11116
Echt,902,10941
Westervoort,293,11085
Elsloo,903,11187
Winterswijk,294,11119
Eijgelshoven,904,10960
Eijsden,905,10314
Wisch,295,10318
Geleen,906,10048
Wijchen,296,10723
Gennep,907,10542
Geulle,908,10530
Zelhem,298,11159
Grevenbicht,910,10624
Zevenaar,299,10938
Itteren,926,10458
Gronsveld,911,10323
Zutphen,301,10254
Grubbenvorst,912,10176
Amerongen,306,11372
Gulpen,913,11032
Haelen,914,10321
Heel en Panheel,915,11208
Heer,916,11407
Heerlen,917,10902
Helden,918,10205
Herten,919,10138
Heythuysen,920,10840
Hoensbroek,921,11177
Horn,922,11176
Horst,923,11108
Stevensweert,972,11203
Hulsberg,924,11216
Hunsel,925,10784
Kerkrade,928,10313
Kessel,929,10890
Klimmen,930,10977
Limbricht,931,11124
Leersum,326,11142
Linne,932,10990
Leusden,327,10978
Maasbracht,933,10964
Maasbree,934,11352
Maastricht,935,10182
Margraten,936,11243
Meerlo,937,11416
Meerssen,938,10494
Stramproy,973,11186
Melick en Herkenbosch,939,10196
Merkelbeek,940,10763
Meijel,941,10925
Mheer,942,10538
Renswoude,339,10269
Schaesberg,960,11335
Rhenen,340,10309
Montfort,943,10266
Mook en Middelaar,944,10271
Munstergeleen,945,10273
Nederweert,946,10681
