gm_naam,cbscode,acode
Pernis,1152,11245
Ammerstol,486,10863
Peursum,1154,10391
Poederoijen,1155,10135
Princenhage,1156,10762
Renesse,1159,10412
Tienhoven (U.),1202,10035
Rietveld,1160,10828
Rilland,1161,10479
Ritthem,1163,10652
Ruwiel,1164,10526
Rijsenburg,1166,10613
Schalkwijk,1169,10378
Schiebroek,1170,11306
Schore,1172,10544
Serooskerke (Schouwen-Duivenland),1175,11014
Serooskerke (Walcheren),1176,11256
Sint Anna Termuiden,1177,11012
Sint Kruis,1178,10235
Sint Laurens,1179,10106
Sluipwijk,1182,11402
Sommelsdijk,1184,11097
Sprang,1187,10659
Stad aan 't Haringvliet,1188,11239
Stein (ZH.),1194,11437
Stellendam,1195,10087
Stompwijk,1197,10742
Stoppeldijk,1198,10100
Tull en 't Waal,1205,11022
Veldhoven en Meerveldhoven,1206,10071
Veldhuizen,1207,10713
Veur,1209,10366
Vlaardinger-Ambacht,1210,10790
Vleuten,1211,10658
Vreeland,1213,10898
Vrouwenpolder,1214,10635
Vrijenban,1215,10853
Vrijhoeve-Capelle,1216,10870
Waarder,1217,10830
Wadenoijen,1218,10201
de Werken en Sleeuwijk,1222,10116
Werkhoven,1223,11299
Westbroek,1224,10145
Willige-Langerak,1226,10368
IJsselmonde,1230,11357
Zeelst,1233,10096
Zonnemaire,1236,10040
Zoutelande,1237,10779
Zuid-Waddinxveen,1239,10081
Zuilen,1242,10059
Zuilichem,1243,11036
Zwammerdam,1244,10675
Driel,1248,10341
Etten en Leur,1251,10750
Wissekerke,1253,10243
Borssele,1254,10043
"Eethen, Genderen en Heesbeen",1255,10010
Koudekerk,540,10029
"Drongelen,Haagoord,Gansoyen,Doevere",1263,10111
"Meeuwen, Hill en Babyloniënbroek",1264,10216
"Dussen, Munster en Muilkerk",1265,10261
Steenbergen en Kruisland,1376,10731
Beusichem,210,11182
Ammerzoden,198,10151
Beesd,205,10259
Brakel,212,11125
Buren,214,11286
Buurmalsen,215,10460
Culemborg,216,10342
Deil,217,10057
Est en Opijnen,234,11092
Geldermalsen,236,10881
Haaften,242,10125
Hedel,245,10982
Heerewaarden,247,10067
Herwijnen,250,11266
Kerkwijk,257,10791
Ophemert,270,10829
Rossum,276,10860
Zevenhoven,635,11317
Varik,284,11064
Vuren,287,11376
Waardenburg,288,10238
Bunnik,312,10820
Zaltbommel,297,10557
Zoelen,300,10897
Amersfoort,307,10948
Baarn,308,11411
Benschop,309,11330
De Bilt,310,10168
Bunschoten,313,11343
Cothen,314,11316
Doorn,315,10213
Eemnes,317,10248
Harmelen,318,10183
Hoenkoop,319,10611
Hoogland,320,10545
Houten,321,10230
Jutphaas,322,10374
Polsbroek,338,10993
Kamerik,323,10554
Kockengen,324,10765
Langbroek,325,11413
Linschoten,328,11324
Loenen,329,11202
Loosdrecht,330,10639
Lopik,331,10333
Maarn,332,10392
Maarssen,333,10191
Maartensdijk,334,10691
Montfoort,335,10033
Mijdrecht,336,11379
Nigtevecht,337,10160
Snelrewaard,341,10802
Soest,342,11021
Utrecht,344,10722
Vinkeveen en Waverveen,346,11048
Vreeswijk,348,10441
Willeskop,349,10758
Wilnis,350,10365
Wijk bij Duurstede,352,10760
IJsselstein,353,10152
Zegveld,354,10949
Zeist,355,10324
Blaricum,376,10493
Bussum,381,10281
's-Graveland,390,10534
Hilversum,402,11285
Laren (NH.),417,10649
Nederhorst den Berg,426,10715
Hulst,677,11408
Uithoorn,451,11206
Benthuizen,490,10398
Ter Aar,480,11104
Abbenbroek,481,11026
Alblasserdam,482,11327
Alkemade,483,10349
Ameide,485,11349
Arkel,487,10079
Asperen,488,11369
Bergambacht,491,10962
Bergschenhoek,492,10445
Berkel en Rodenrijs,493,10139
Berkenwoude,494,10797
Bleiswijk,495,10994
Bleskensgraaf en Hofwege,496,10451
Bodegraven,497,11091
Boskoop,499,10419
Brandwijk,500,10169
Brielle,501,10232
Capelle aan den IJssel,502,11248
Delft,503,10928
Dirksland,504,11344
Dordrecht,505,11157
Dubbeldam,507,10781
Everdingen,508,10638
Geervliet,509,10842
Goedereede,511,10981
Gorinchem,512,10942
Gouda,513,10302
Gouderak,514,11258
Goudriaan,515,10450
Goudswaard,516,10914
's-Gravendeel,517,10052
's-Gravenhage,518,11434
's-Gravenzande,519,10640
Groot-Ammers,520,11205
Haastrecht,521,11049
Hagestein,522,10297
Piershil,591,10179
Hazerswoude,524,11257
Heenvliet,525,10823
Heerjansdam,526,10540
Hei- en Boeicop,527,11024
Heinenoord,528,10821
Hellevoetsluis,530,11078
Hendrik-Ido-Ambacht,531,10416
Heukelum,533,11308
Hoogblokland,535,11040
Hoornaar,536,10516
Katwijk,537,10707
Kedichem,538,10280
Klaaswaal,539,10284
Krimpen aan de Lek,541,10617
Krimpen aan den IJssel,542,10859
Langerak,543,11127
Leerbroek,544,10465
Leerdam,545,10685
Leiden,546,10702
Leiderdorp,547,10058
Leimuiden,549,11351
Lekkerkerk,550,10050
Lexmond,551,10930
De Lier,552,10241
Philippine,699,10486
Lisse,553,10197
Maasdam,554,11019
Maasland,555,10393
Maassluis,556,10880
Meerkerk,557,10618
Middelharnis,559,11067
Moerkapelle,560,11383
Molenaarsgraaf,561,10166
Monster,562,10019
Moordrecht,563,10120
Mijnsheerenland,564,11112
Naaldwijk,565,11418
Nieuw-Beijerland,566,10092
Nieuwerkerk aan den IJssel,567,10855
Nieuwkoop,569,10728
Nieuwland,570,11213
Nieuw-Lekkerland,571,10547
Nieuwpoort,572,10748
Nieuwveen,573,10487
Noordeloos,574,10296
Noordwijk,575,10769
Noordwijkerhout,576,11134
Nootdorp,577,10601
Numansdorp,578,11346
Oegstgeest,579,10287
Oostvoorne,581,10009
Ottoland,582,10097
Oud-Alblas,583,10826
Oud-Beijerland,584,11301
Oudenhoorn,586,10380
Ouderkerk aan den IJssel,587,10095
Oudewater,589,10188
Papendrecht,590,10427
Poortugaal,592,11395
Puttershoek,593,10222
Pijnacker,594,10031
Reeuwijk,595,10485
Rhoon,596,10903
Ridderkerk,597,10646
Rockanje,598,10464
Rotterdam,599,10345
Rozenburg,600,11314
Rijnsaterwoude,601,11129
Rijnsburg,602,11118
Rijswijk (ZH.),603,11133
Sassenheim,604,10612
Schelluinen,605,11399
Schiedam,606,11260
